name,trade_date,pe,pb,float_mv,total_mv
造纸,20240102,31.38,1.24,8456395.0,15782802.583991
造纸,20240103,31.47,1.24,8480259.0,15811435.534378
造纸,20240104,31.5,1.25,8489777.0,15834290.518883
造纸,20240105,31.25,1.24,8425426.0,15714633.315955
造纸,20240108,30.7,1.21,8273478.0,15419445.243529
造纸,20240109,30.61,1.21,8249337.0,15387135.206355
造纸,20240110,30.5,1.21,8218852.0,15347262.85114
造纸,20240111,30.75,1.22,8286882.0,15466721.405728
造纸,20240112,30.72,1.21,8280162.0,15469046.669314
造纸,20240115,30.81,1.22,8302532.0,15498207.079152
造纸,20240116,30.7,1.21,8271034.0,15433128.455601
造纸,20240117,30.02,1.19,8089106.0,15090777.97993
造纸,20240118,29.68,1.17,7996368.0,14916312.02061
造纸,20240119,29.69,1.17,7998156.0,14911389.02032
造纸,20240122,28.05,1.11,7556012.0,14081119.03052
造纸,20240123,28.15,1.11,7581592.0,14130940.275285
造纸,20240124,28.68,1.13,7724889.0,14385474.566991
造纸,20240125,29.53,1.17,7952752.0,14810568.34775
造纸,20240126,29.85,1.18,8037260.0,14933834.35416
造纸,20240129,29.3,1.16,7890520.0,14673655.825394
造纸,20240130,28.63,1.13,7707575.0,14295588.056323
造纸,20240131,27.62,1.09,7434842.0,13792878.641278
造纸,20240201,27.26,1.08,7334992.0,13597499.819673
造纸,20240202,26.51,1.05,7146010.0,13257256.117876
造纸,20240205,25.17,0.99,6782346.0,12587112.355087
造纸,20240206,26.06,1.03,7017909.0,13055496.111411
造纸,20240207,26.63,1.05,7163961.0,13369754.548578
造纸,20240208,27.67,1.09,7443652.0,13887692.195232
造纸,20240219,27.94,1.1,7517621.0,14022936.118522
造纸,20240220,28.23,1.12,7595636.0,14174106.640416
造纸,20240221,28.26,1.12,7603996.0,14187637.189401
造纸,20240222,28.6,1.13,7696151.0,14340918.205474
造纸,20240223,29.09,1.15,7831589.0,14586334.683038
造纸,20240226,29.46,1.16,7927836.0,14771335.897083
造纸,20240227,29.99,1.19,8072833.0,15040893.350005
造纸,20240228,28.82,1.14,7776072.0,14488467.648253
造纸,20240229,29.62,1.17,7991337.0,14878083.647532
造纸,20240301,29.46,1.17,7948660.0,14821160.332828
造纸,20240304,29.64,1.17,7995621.0,14877383.584246
造纸,20240305,29.41,1.17,7949271.0,14744083.107834
造纸,20240306,29.41,1.17,7956540.0,14764661.644409
造纸,20240307,29.48,1.17,7973055.0,14787662.073575
造纸,20240308,29.75,1.18,8045347.0,14924225.728769
造纸,20240311,29.93,1.19,8094214.0,15024985.186375
造纸,20240312,30.28,1.2,8189345.0,15211534.686066
造纸,20240313,30.05,1.19,8126470.0,15155559.256285
造纸,20240314,30.03,1.19,8120308.0,15152628.740751
造纸,20240315,30.33,1.21,8228901.0,15349250.729759
造纸,20240318,30.86,1.23,8374121.0,15643033.507621
造纸,20240319,30.89,1.23,8382071.0,15632220.089548
造纸,20240320,31.19,1.24,8468772.0,15794534.743357
造纸,20240321,31.6,1.24,8460888.0,15774253.811118
造纸,20240322,31.52,1.24,8436805.0,15746313.947749
造纸,20240325,31.44,1.24,8416298.0,15674662.565186
