name,trade_date,pe,pb,float_mv,total_mv
钛白粉,20240102,24.73,1.64,3906583.0,7067800.997797
钛白粉,20240103,24.9,1.65,3933771.0,7116887.800218
钛白粉,20240104,24.79,1.65,3916803.0,7087113.604854
钛白粉,20240105,24.35,1.62,3847126.0,6961321.845002
钛白粉,20240108,23.95,1.59,3783069.0,6845418.328605
钛白粉,20240109,24.03,1.59,3796254.0,6869940.284136
钛白粉,20240110,24.01,1.59,3793747.0,6865695.086965
钛白粉,20240111,24.31,1.61,3840409.0,6946102.656977
钛白粉,20240112,24.13,1.6,3812385.0,6894934.820356
钛白粉,20240115,23.85,1.58,3766998.0,6813977.96429
钛白粉,20240116,23.75,1.58,3751932.0,6787415.251476
钛白粉,20240117,23.22,1.54,3667683.0,6634376.407307
钛白粉,20240118,23.03,1.53,3637556.0,6577141.437713
钛白粉,20240119,22.94,1.52,3624570.0,6559583.322983
钛白粉,20240122,22.22,1.47,3510208.0,6358951.073685
钛白粉,20240123,22.24,1.48,3513553.0,6362426.149715
钛白粉,20240124,22.52,1.49,3558064.0,6443531.862488
钛白粉,20240125,23.5,1.56,3713184.0,6727223.923504
钛白粉,20240126,23.68,1.57,3741106.0,6778490.009062
钛白粉,20240129,23.3,1.55,3680486.0,6672246.737242
钛白粉,20240130,22.61,1.5,3571803.0,6476529.754975
钛白粉,20240131,22.13,1.47,3496209.0,6344388.397547
钛白粉,20240201,22.14,1.47,3497547.0,6355763.659991
钛白粉,20240202,21.54,1.43,3402697.0,6190820.746361
钛白粉,20240205,20.97,1.39,3313322.0,6041160.344567
钛白粉,20240206,21.65,1.44,3420714.0,6233838.213206
钛白粉,20240207,22.32,1.48,3526446.0,6423576.436849
钛白粉,20240208,23.01,1.53,3635059.0,6614339.586315
钛白粉,20240219,23.17,1.54,3660157.0,6653344.303454
钛白粉,20240220,23.03,1.53,3638318.0,6616559.617073
钛白粉,20240221,23.32,1.55,3684320.0,6701403.056678
钛白粉,20240222,23.85,1.58,3767327.0,6852123.965119
钛白粉,20240223,23.92,1.59,3778300.0,6870377.723121
钛白粉,20240226,24.01,1.59,3792432.0,6888347.82502
钛白粉,20240227,24.69,1.64,3900006.0,7075074.718088
钛白粉,20240228,23.77,1.58,3755037.0,6820561.655892
钛白粉,20240229,24.79,1.65,3915627.0,7116391.553855
钛白粉,20240301,24.77,1.64,3913579.0,7115342.092
钛白粉,20240304,24.62,1.63,3889675.0,7073527.063776
钛白粉,20240305,24.46,1.62,3864755.0,7031748.395532
钛白粉,20240306,24.87,1.65,3928285.0,7148781.950472
钛白粉,20240307,23.77,1.64,3902174.0,7101230.480413
钛白粉,20240308,23.86,1.64,3916882.0,7129485.865983
钛白粉,20240311,23.96,1.65,3933049.0,7155072.305953
钛白粉,20240312,23.82,1.64,3909373.0,7108010.033243
钛白粉,20240313,23.84,1.64,3912517.0,7116216.345326
钛白粉,20240314,23.81,1.64,3907644.0,7111471.987524
钛白粉,20240315,24.18,1.67,3967796.0,7220558.200707
钛白粉,20240318,24.38,1.68,4000694.0,7275578.327458
钛白粉,20240319,24.16,1.66,3964015.0,7205004.500262
钛白粉,20240320,24.0,1.65,3938890.0,7155376.907542
钛白粉,20240321,24.01,1.65,3940580.0,7157694.735472
钛白粉,20240322,23.56,1.62,3865243.0,7022904.155915
钛白粉,20240325,23.43,1.61,3844694.0,6991699.25877
钛白粉,20240326,23.54,1.62,3862064.0,7025832.255471
钛白粉,20240327,23.32,1.61,3826338.0,6965986.64297
钛白粉,20240328,23.49,1.62,3854212.0,7013402.538626
钛白粉,20240329,23.97,1.65,3933612.0,7163039.8471
钛白粉,20240401,24.72,1.7,4056911.0,7384464.349117
钛白粉,20240402,25.23,1.74,4140831.0,7532287.506715
钛白粉,20240403,25.69,1.77,4214891.0,7666055.73153
钛白粉,20240408,25.24,1.74,4141701.0,7536170.914275
钛白粉,20240409,25.45,1.75,4176477.0,7593442.847465
钛白粉,20240410,25.01,1.72,4104396.0,7461031.740704
钛白粉,20240411,25.18,1.73,4131910.0,7512073.743627
钛白粉,20240412,25.28,1.74,4147879.0,7547048.186479
钛白粉,20240415,24.59,1.69,4034889.0,7364083.718983
钛白粉,20240416,23.45,1.61,3847222.0,7034311.816024
钛白粉,20240417,24.22,1.67,3973517.0,7256552.785927
钛白粉,20240418,24.03,1.71,4030009.0,7356599.964185
钛白粉,20240419,24.35,1.73,4083847.0,7451610.729001
钛白粉,20240422,24.18,1.72,4054950.0,7389794.342478
钛白粉,20240423,24.64,1.7,4018141.0,7310218.68402
钛白粉,20240424,20.3,1.74,4203126.0,7659875.80655
钛白粉,20240425,20.56,1.76,4256840.0,7749716.923551
钛白粉,20240426,20.84,1.79,4314919.0,7860969.474657
钛白粉,20240429,21.27,1.83,4403837.0,8022861.829056
钛白粉,20240430,21.36,1.83,4422325.0,8052023.239921
钛白粉,20240506,19.94,1.91,4602733.0,8395741.893687
钛白粉,20240507,20.16,1.93,4651902.0,8482171.603025
钛白粉,20240508,19.98,1.91,4610497.0,8404215.524366
钛白粉,20240509,19.89,1.9,4589630.0,8365189.822619
钛白粉,20240510,19.68,1.88,4541158.0,8282416.968884
钛白粉,20240513,19.65,1.88,4536175.0,8279379.308513
钛白粉,20240514,19.43,1.86,4485588.0,8182936.52612
钛白粉,20240515,19.29,1.85,4451394.0,8124179.01383
钛白粉,20240516,19.29,1.85,4451334.0,8124427.609569
钛白粉,20240517,19.53,1.87,4506811.0,8226493.197289
钛白粉,20240520,20.22,1.93,4666058.0,8525068.043139
钛白粉,20240521,19.68,1.88,4541700.0,8300337.137325
钛白粉,20240522,19.4,1.86,4478009.0,8179539.784102
钛白粉,20240523,18.99,1.82,4382509.0,8017329.636318
钛白粉,20240524,19.11,1.83,4409567.0,8064705.42984
钛白粉,20240527,18.97,1.82,4379193.0,8004412.087666
钛白粉,20240528,18.75,1.79,4327846.0,7913713.428925
钛白粉,20240529,18.91,1.81,4364351.0,7981094.362216
钛白粉,20240530,18.48,1.77,4264361.0,7793732.244236
钛白粉,20240531,18.3,1.75,4224700.0,7718812.295056
钛白粉,20240603,18.23,1.74,4206642.0,7692194.928025
钛白粉,20240604,18.28,1.75,4219854.0,7719114.678322
钛白粉,20240605,18.04,1.73,4164637.0,7619601.4053
钛白粉,20240606,18.03,1.73,4161601.0,7623840.763064
钛白粉,20240607,17.99,1.72,4151547.0,7598892.809609
钛白粉,20240611,17.93,1.72,4137201.0,7567633.782715
钛白粉,20240612,17.94,1.72,4140248.0,7572126.019242
钛白粉,20240613,17.53,1.68,4045069.0,7397549.749612
钛白粉,20240614,16.61,1.59,3834753.0,6997981.7867
钛白粉,20240617,16.52,1.58,3813634.0,6960143.898925
钛白粉,20240618,16.88,1.62,3896865.0,7117540.02997
钛白粉,20240619,16.64,1.59,3841668.0,7018747.106236
钛白粉,20240620,17.08,1.56,3420836.0,6858471.881851
钛白粉,20240621,16.31,1.56,3763532.0,6877635.450001
钛白粉,20240624,15.88,1.52,3666239.0,6705417.607716
钛白粉,20240625,16.12,1.54,3720142.0,6807651.286176
钛白粉,20240626,16.36,1.57,3776496.0,6911546.511268
钛白粉,20240627,15.91,1.52,3671296.0,6721033.653706
钛白粉,20240628,15.86,1.52,3660543.0,6703878.761678
钛白粉,20240701,16.18,1.55,3734949.0,6837559.917328
钛白粉,20240702,15.93,1.52,3676305.0,6725638.756844
钛白粉,20240703,15.97,1.53,3687011.0,6740769.299129
钛白粉,20240704,15.74,1.51,3631939.0,6645151.801924
钛白粉,20240705,15.99,1.53,3689748.0,6751343.319299
钛白粉,20240708,15.83,1.52,3654527.0,6686266.546562
钛白粉,20240709,16.22,1.55,3744392.0,6846566.693134
钛白粉,20240710,15.49,1.56,4185101.0,6768580.697874
钛白粉,20240711,15.95,1.61,4308584.0,6970856.439015
钛白粉,20240712,15.97,1.61,4314259.0,6977927.339467
钛白粉,20240715,15.78,1.59,4263885.0,6893887.236725
钛白粉,20240716,15.45,1.56,4173331.0,6748698.364806
钛白粉,20240717,15.26,1.54,4121922.0,6665731.748972
钛白粉,20240718,15.27,1.54,4124381.0,6667337.940225
钛白粉,20240719,15.22,1.54,4110480.0,6646430.543386
钛白粉,20240722,15.03,1.52,4060371.0,6566312.704048
