name,trade_date,pe,pb,float_mv,total_mv
钟表珠宝,20240102,21.75,2.23,4175064.0,11610335.978981
钟表珠宝,20240103,21.72,2.23,4168572.0,11592788.769847
钟表珠宝,20240104,21.69,2.23,4163027.0,11573209.619415
钟表珠宝,20240105,21.58,2.22,4141358.0,11527246.753612
钟表珠宝,20240108,21.12,2.17,4051818.0,11283057.289213
钟表珠宝,20240109,21.41,2.21,4107894.0,11419084.644947
钟表珠宝,20240110,21.52,2.22,4127580.0,11446675.543331
钟表珠宝,20240111,21.64,2.23,4152090.0,11487618.80377
钟表珠宝,20240112,21.93,2.26,4206616.0,11634306.226973
钟表珠宝,20240115,22.34,2.32,4283365.0,11834261.885143
钟表珠宝,20240116,22.29,2.31,4272798.0,11798094.945022
钟表珠宝,20240117,22.34,2.32,4279865.0,11760468.717181
钟表珠宝,20240118,22.11,2.29,4235617.0,11624059.365118
钟表珠宝,20240119,22.37,2.32,4284127.0,11717470.93349
钟表珠宝,20240122,21.8,2.25,4171544.0,11317216.878158
钟表珠宝,20240123,21.88,2.26,4185199.0,11362006.972723
钟表珠宝,20240124,22.22,2.29,4249692.0,11516271.332746
钟表珠宝,20240125,22.91,2.34,4419116.0,11766534.53226
钟表珠宝,20240126,22.69,2.31,4375975.0,11680552.299221
钟表珠宝,20240129,22.39,2.28,4315940.0,11543154.827035
钟表珠宝,20240130,21.63,2.2,4168373.0,11147131.371289
钟表珠宝,20240131,20.79,2.12,4005600.0,10773579.023227
钟表珠宝,20240201,20.6,2.11,3970250.0,10713547.098433
钟表珠宝,20240202,20.08,2.06,3867310.0,10487386.839237
钟表珠宝,20240205,19.75,2.04,3797298.0,10309535.334039
钟表珠宝,20240206,20.25,2.1,3992667.0,10656356.394917
钟表珠宝,20240207,20.59,2.13,4061651.0,10887854.795732
钟表珠宝,20240208,20.89,2.15,4125264.0,11060314.549221
钟表珠宝,20240219,21.51,2.22,4241528.0,11335615.689803
钟表珠宝,20240220,21.56,2.22,4252710.0,11345828.198967
钟表珠宝,20240221,21.75,2.24,4290721.0,11436907.420437
钟表珠宝,20240222,21.65,2.23,4272692.0,11400288.098558
钟表珠宝,20240223,21.68,2.24,4280380.0,11431553.237821
钟表珠宝,20240226,21.82,2.25,4307606.0,11487304.601862
钟表珠宝,20240227,21.97,2.27,4339930.0,11585934.714981
钟表珠宝,20240228,21.3,2.21,4205212.0,11281821.224348
钟表珠宝,20240229,21.52,2.23,4250433.0,11425804.292387
钟表珠宝,20240301,21.66,2.23,4277671.0,11469676.385825
钟表珠宝,20240304,22.32,2.31,4403343.0,11808767.743074
钟表珠宝,20240305,22.41,2.31,4419303.0,11798434.152825
钟表珠宝,20240306,22.72,2.33,4479395.0,11958979.822072
钟表珠宝,20240307,23.28,2.4,4586783.0,12254065.831618
钟表珠宝,20240308,23.18,2.38,4568401.0,12190704.809122
钟表珠宝,20240311,23.17,2.38,4567372.0,12191294.580212
钟表珠宝,20240312,23.09,2.38,4554263.0,12152282.614968
钟表珠宝,20240313,22.95,2.36,4526633.0,12085269.975686
钟表珠宝,20240314,22.85,2.37,4540551.0,12131539.630358
钟表珠宝,20240315,23.23,2.41,4615358.0,12327451.438751
钟表珠宝,20240318,22.98,2.38,4567260.0,12205813.047065
钟表珠宝,20240319,22.79,2.36,4531158.0,12086589.417681
钟表珠宝,20240320,22.85,2.36,4542216.0,12094151.627583
钟表珠宝,20240321,23.24,2.41,4617326.0,12260877.809115
钟表珠宝,20240322,22.98,2.37,4564945.0,12116676.859335
钟表珠宝,20240325,22.72,2.34,4511094.0,11993030.653803
钟表珠宝,20240326,22.58,2.33,4484420.0,11959632.573278
钟表珠宝,20240327,22.48,2.33,4462520.0,11942827.510117
钟表珠宝,20240328,18.56,2.46,4510738.0,12052542.332587
钟表珠宝,20240329,19.52,2.58,4740890.0,12673918.365799
钟表珠宝,20240401,19.43,2.57,4725339.0,12660130.172313
钟表珠宝,20240402,19.47,2.58,4735347.0,12659632.324818
钟表珠宝,20240403,20.02,2.65,4872083.0,13080781.585956
钟表珠宝,20240408,20.1,2.66,4889197.0,13074319.724485
钟表珠宝,20240409,19.93,2.64,4855944.0,13032199.635363
钟表珠宝,20240410,20.13,2.66,4907464.0,13164525.310436
钟表珠宝,20240411,19.83,2.62,4830393.0,12962891.153702
钟表珠宝,20240412,20.51,2.71,4997351.0,13378754.060312
钟表珠宝,20240415,19.67,2.6,4778497.0,12772188.646199
钟表珠宝,20240416,18.63,2.47,4519150.0,12091234.24
钟表珠宝,20240417,18.8,2.49,4568360.0,12245945.8629
