name,trade_date,pe,pb,float_mv,total_mv
钢结构,20240102,23.03,1.34,3278463.0,6845954.114263
钢结构,20240103,22.76,1.32,3240135.0,6736966.328225
钢结构,20240104,23.02,1.34,3276638.0,6880209.922584
钢结构,20240105,22.97,1.34,3270390.0,6944616.89579
钢结构,20240108,22.51,1.31,3204653.0,6803428.46641
钢结构,20240109,22.32,1.3,3178201.0,6688442.927118
钢结构,20240110,22.48,1.31,3200009.0,6810069.286085
钢结构,20240111,22.82,1.33,3248119.0,6988766.671888
钢结构,20240112,22.89,1.33,3258605.0,7004662.577935
钢结构,20240115,22.62,1.32,3220958.0,6909244.126686
钢结构,20240116,22.86,1.33,3254706.0,7021330.163155
钢结构,20240117,22.06,1.28,3140192.0,6703787.72642
钢结构,20240118,22.23,1.29,3164641.0,6858690.379968
钢结构,20240119,21.74,1.26,3095323.0,6674603.440641
钢结构,20240122,20.46,1.19,2913084.0,6299778.025436
钢结构,20240123,20.62,1.2,2935433.0,6390757.787063
钢结构,20240124,21.22,1.23,3021434.0,6590484.790908
钢结构,20240125,21.88,1.27,3115394.0,6775941.256956
钢结构,20240126,21.94,1.28,3123753.0,6760442.527182
钢结构,20240129,21.35,1.24,3040152.0,6590304.969955
钢结构,20240130,20.58,1.2,2930305.0,6276997.368361
钢结构,20240131,19.65,1.14,2798076.0,5961508.788997
钢结构,20240201,19.29,1.12,2746183.0,5873511.32243
钢结构,20240202,18.35,1.07,2612717.0,5564875.599717
钢结构,20240205,16.91,0.98,2407139.0,5100269.306605
钢结构,20240206,17.73,1.03,2524527.0,5366060.535388
钢结构,20240207,17.87,1.04,2544756.0,5356852.721359
钢结构,20240208,18.73,1.09,2665811.0,5610363.049169
钢结构,20240219,18.85,1.1,2683094.0,5673501.840718
钢结构,20240220,18.85,1.1,2683179.0,5683288.487425
钢结构,20240221,19.21,1.12,2734379.0,5784440.544335
钢结构,20240222,19.4,1.13,2761232.0,5855725.756027
钢结构,20240223,19.71,1.15,2805605.0,5946603.257363
钢结构,20240226,19.83,1.15,2823404.0,5991658.075201
钢结构,20240227,20.22,1.18,2879251.0,6116813.41666
钢结构,20240228,19.4,1.13,2762048.0,5892403.831642
钢结构,20240229,19.88,1.16,2830017.0,6029414.100247
钢结构,20240301,19.77,1.15,2813904.0,5975987.259533
钢结构,20240304,19.48,1.13,2773387.0,5875619.857585
钢结构,20240305,19.11,1.11,2721144.0,5757297.08508
钢结构,20240306,19.26,1.12,2741322.0,5815676.959105
钢结构,20240307,19.03,1.11,2709790.0,5735443.280772
钢结构,20240308,19.08,1.11,2716966.0,5743129.438493
钢结构,20240311,19.56,1.14,2784111.0,5913082.898912
钢结构,20240312,19.82,1.15,2821861.0,5983681.060143
钢结构,20240313,19.77,1.15,2814629.0,5954591.699658
钢结构,20240314,19.72,1.15,2807304.0,5918594.30777
钢结构,20240315,19.88,1.16,2830688.0,5963105.187275
钢结构,20240318,20.05,1.17,2854216.0,6013885.495197
钢结构,20240319,19.97,1.16,2843085.0,6017783.566143
钢结构,20240320,19.95,1.16,2840819.0,6000965.033374
钢结构,20240321,19.83,1.15,2823253.0,5950604.866426
钢结构,20240322,19.2,1.12,2733360.0,5760113.352587
钢结构,20240325,18.88,1.1,2687378.0,5661423.649091
钢结构,20240326,18.88,1.1,2687283.0,5652695.135194
钢结构,20240327,18.3,1.06,2605336.0,5476316.28433
钢结构,20240328,18.51,1.08,2635725.0,5539527.899698
钢结构,20240329,18.57,1.08,2644154.0,5531190.431138
钢结构,20240401,19.3,1.12,2756953.0,5790345.647946
