name,trade_date,pe,pb,float_mv,total_mv
铁路运输,20240102,17.5,0.99,10623247.0,39761976.095824
铁路运输,20240103,17.57,1.0,10666320.0,40134183.146602
铁路运输,20240104,17.48,0.99,10610342.0,39819624.031893
铁路运输,20240105,17.34,0.99,10526047.0,39507939.097812
铁路运输,20240108,17.14,0.97,10407075.0,39017820.64486
铁路运输,20240109,17.31,0.98,10511333.0,39412548.473608
铁路运输,20240110,17.29,0.98,10498081.0,39398321.446965
铁路运输,20240111,17.23,0.98,10460191.0,39227578.553321
铁路运输,20240112,17.32,0.98,10516454.0,39459889.124278
铁路运输,20240115,17.47,0.99,10605197.0,39750019.466004
铁路运输,20240116,17.53,1.0,10644636.0,40051251.157499
铁路运输,20240117,17.36,0.99,10540636.0,39646994.447596
铁路运输,20240118,17.33,0.99,10520110.0,39685065.093271
铁路运输,20240119,17.29,0.98,10499496.0,39692331.158295
铁路运输,20240122,16.86,0.96,10239319.0,38883756.858469
铁路运输,20240123,16.84,0.96,10223143.0,38632160.047831
铁路运输,20240124,17.33,0.99,10521649.0,39764695.570847
铁路运输,20240125,17.75,1.01,10774468.0,40614548.991991
铁路运输,20240126,17.82,1.01,10822167.0,40835570.077064
铁路运输,20240129,17.88,1.02,10853631.0,41046647.087995
铁路运输,20240130,17.69,1.01,10738529.0,40641640.274474
铁路运输,20240131,17.63,1.0,10703833.0,40571122.786538
铁路运输,20240201,17.5,0.99,10624295.0,40266895.911074
铁路运输,20240202,17.38,0.99,10552186.0,40583709.973601
铁路运输,20240205,17.37,0.99,10548818.0,40821478.394051
铁路运输,20240206,17.56,1.0,10662770.0,41209688.063562
铁路运输,20240207,17.68,1.01,10736958.0,41389662.70904
铁路运输,20240208,17.63,1.0,10701919.0,41172124.76019
铁路运输,20240219,17.9,1.02,10870717.0,41841935.476283
铁路运输,20240220,18.14,1.03,11012374.0,42412079.932882
铁路运输,20240221,18.07,1.03,10972347.0,42197161.144725
铁路运输,20240222,18.13,1.03,11005362.0,42281203.213349
铁路运输,20240223,18.1,1.03,10990060.0,42169500.386011
铁路运输,20240226,17.92,1.02,10882795.0,41679809.837167
铁路运输,20240227,17.85,1.01,10836711.0,41487875.646648
铁路运输,20240228,17.67,1.0,10731658.0,41214181.653177
铁路运输,20240229,17.84,1.01,10833655.0,41558255.445501
铁路运输,20240301,17.74,1.01,10771106.0,41274311.326769
铁路运输,20240304,17.73,1.01,10767071.0,41241480.181475
铁路运输,20240305,17.9,1.02,10870558.0,41726148.165319
铁路运输,20240306,17.77,1.01,10790337.0,41408662.242566
铁路运输,20240307,17.76,1.01,10781341.0,41386994.384556
铁路运输,20240308,17.78,1.01,10793637.0,41394943.428993
铁路运输,20240311,17.8,1.01,10805109.0,41440944.951684
铁路运输,20240312,17.66,1.0,10723316.0,41177578.44533
铁路运输,20240313,17.53,1.0,10641179.0,40828474.400589
铁路运输,20240314,17.66,1.0,10720398.0,41159209.362268
铁路运输,20240315,17.67,1.0,10728178.0,41128278.129823
铁路运输,20240318,17.78,1.01,10797227.0,41378553.688929
铁路运输,20240319,17.61,1.0,10691766.0,40996265.980521
铁路运输,20240320,17.7,1.01,10745334.0,41137389.427048
铁路运输,20240321,17.75,1.01,10774584.0,41210184.256161
铁路运输,20240322,17.63,1.0,10705996.0,40917692.402258
铁路运输,20240325,17.58,1.0,10673684.0,40835977.889314
铁路运输,20240326,17.62,1.0,10695607.0,40901821.36945
铁路运输,20240327,17.56,1.0,10661712.0,40819773.881603
铁路运输,20240328,17.64,1.0,10711061.0,40997314.243194
铁路运输,20240329,16.58,1.01,10769031.0,41230540.612162
铁路运输,20240401,16.69,1.01,10839099.0,41525563.754938
铁路运输,20240402,16.78,1.02,10899802.0,42571367.667428
铁路运输,20240403,16.85,1.02,10945348.0,42674775.895674
铁路运输,20240408,16.94,1.03,11001131.0,42910354.953898
铁路运输,20240409,16.72,1.02,10936554.0,42582368.066275
铁路运输,20240410,16.73,1.02,10948225.0,42690557.294837
铁路运输,20240411,16.81,1.03,11001031.0,42806199.549921
铁路运输,20240412,16.74,1.03,10949717.0,42590588.114467
铁路运输,20240415,17.02,1.04,11134959.0,43373562.229359
铁路运输,20240416,16.72,1.02,10941428.0,42743305.875268
铁路运输,20240417,17.07,1.05,11168142.0,43514725.634465
铁路运输,20240418,16.99,1.04,11117985.0,43362715.71663
铁路运输,20240419,17.03,1.04,11139019.0,43421434.818195
铁路运输,20240422,16.88,1.03,11044555.0,43142801.104959
铁路运输,20240423,16.83,1.03,11012073.0,43108129.737983
铁路运输,20240424,16.91,1.04,11062742.0,43195515.994547
铁路运输,20240425,17.0,1.04,11124712.0,43535150.387013
铁路运输,20240426,16.82,1.03,11057865.0,43228108.252949
铁路运输,20240429,16.01,0.96,10766315.0,42151557.309701
铁路运输,20240430,14.51,0.94,10741637.0,41916919.632347
铁路运输,20240506,14.83,0.97,11058420.0,43034914.389399
铁路运输,20240507,14.64,0.96,10913634.0,42457655.684925
铁路运输,20240508,14.58,0.95,10869443.0,42303849.909705
铁路运输,20240509,14.72,0.96,10978136.0,42625864.241938
铁路运输,20240510,14.7,0.96,10960177.0,42612194.444914
铁路运输,20240513,14.86,0.97,11080366.0,43084762.344361
铁路运输,20240514,14.93,0.97,11130915.0,43227424.611021
铁路运输,20240515,14.83,0.97,11053717.0,42990485.606417
铁路运输,20240516,14.77,0.96,11014178.0,42829992.643826
铁路运输,20240517,14.85,0.97,11074875.0,43145956.949078
铁路运输,20240520,14.84,0.97,11061489.0,43096984.640318
铁路运输,20240521,14.8,0.97,11034796.0,42944667.648574
铁路运输,20240522,14.81,0.97,11043773.0,43044331.428336
铁路运输,20240523,14.63,0.96,10908732.0,42490834.737896
铁路运输,20240524,14.61,0.95,10893922.0,42385335.489065
铁路运输,20240527,14.79,0.97,11029628.0,42867714.691144
铁路运输,20240528,14.67,0.96,10938170.0,42523440.38581
铁路运输,20240529,14.63,0.96,10907805.0,42415759.750787
铁路运输,20240530,14.53,0.95,10829757.0,42092784.881962
铁路运输,20240531,14.51,0.95,10815377.0,42004562.50801
铁路运输,20240603,14.41,0.94,10744318.0,41713896.50221
铁路运输,20240604,14.59,0.95,10874602.0,42261640.698307
铁路运输,20240605,14.58,0.95,10872446.0,42335927.012106
铁路运输,20240606,14.6,0.95,10882504.0,42447211.545301
铁路运输,20240607,14.85,0.97,11068615.0,43148172.807835
铁路运输,20240611,14.62,0.95,10898143.0,42503277.5831
铁路运输,20240612,14.71,0.96,10966545.0,42739003.809471
铁路运输,20240613,14.62,0.95,10898811.0,42588666.585349
铁路运输,20240614,14.52,0.95,10825800.0,42287589.571699
铁路运输,20240617,14.51,0.95,10817153.0,42291718.321364
铁路运输,20240618,14.61,0.95,10888919.0,42550450.999504
铁路运输,20240619,14.57,0.95,10865497.0,42514842.465457
铁路运输,20240620,477.49,0.95,573831.0,42506043.98728
