name,trade_date,pe,pb,float_mv,total_mv
银行,20240102,4.38,0.43,174868850.0,675087942.898919
银行,20240103,4.4,0.43,175696997.0,680818875.83746
银行,20240104,4.41,0.43,176097784.0,685957584.391864
银行,20240105,4.46,0.44,177974500.0,689211604.304363
银行,20240108,4.43,0.43,176722559.0,685649772.233702
银行,20240109,4.45,0.43,177333899.0,686678791.07474
银行,20240110,4.42,0.43,176450238.0,682869346.999322
银行,20240111,4.42,0.43,176179325.0,677803284.969263
银行,20240112,4.45,0.43,177418869.0,683252729.321148
银行,20240115,4.47,0.44,178467748.0,687600298.841624
银行,20240116,4.53,0.44,180649466.0,694836830.547122
银行,20240117,4.5,0.44,179459258.0,688967607.484958
银行,20240118,4.51,0.44,179822884.0,689254595.244684
银行,20240119,4.51,0.44,179787554.0,688986243.399496
银行,20240122,4.5,0.44,179416045.0,688758249.20065
银行,20240123,4.49,0.44,179259094.0,688333266.185109
银行,20240124,4.56,0.45,182023664.0,700369208.483571
银行,20240125,4.63,0.45,184870786.0,711058610.994784
银行,20240126,4.71,0.46,187759488.0,723066627.639874
银行,20240129,4.75,0.46,189385938.0,731006535.458272
银行,20240130,4.7,0.46,187435426.0,724615343.7608
银行,20240131,4.7,0.46,187606546.0,727026937.674323
银行,20240201,4.68,0.46,186318891.0,722379110.448148
银行,20240202,4.68,0.46,186519285.0,725435320.904907
银行,20240205,4.73,0.46,188825369.0,737791561.827822
银行,20240206,4.79,0.47,191139194.0,746167126.58575
银行,20240207,4.76,0.47,189831287.0,736491414.53855
银行,20240208,4.74,0.46,188915436.0,730248135.957497
银行,20240219,4.83,0.47,192495564.0,748040011.852472
银行,20240220,4.86,0.48,193899797.0,755219442.981065
银行,20240221,4.99,0.49,199097590.0,770204878.472862
银行,20240222,5.0,0.49,199282951.0,771407922.995416
银行,20240223,5.02,0.49,200397114.0,777745194.755148
银行,20240226,4.9,0.48,195366382.0,756789477.923456
银行,20240227,4.9,0.48,195525778.0,757299190.196416
银行,20240228,4.89,0.48,194974568.0,756633898.779076
银行,20240229,4.91,0.48,195889616.0,759720910.263703
银行,20240301,4.91,0.48,195668138.0,760858749.477376
银行,20240304,4.87,0.48,194014590.0,756720258.99939
银行,20240305,4.95,0.48,197468245.0,772258863.334715
银行,20240306,4.91,0.48,195839781.0,763003831.710512
银行,20240307,4.93,0.48,196636768.0,766299117.933754
银行,20240308,4.92,0.48,196369758.0,765224957.066029
银行,20240311,4.91,0.48,195875070.0,762202970.66275
银行,20240312,4.87,0.48,194208548.0,749762001.121037
银行,20240313,4.83,0.47,192649849.0,744335523.303252
银行,20240314,4.82,0.47,192348313.0,745234872.762092
银行,20240315,4.87,0.47,193640264.0,748193200.157679
银行,20240318,4.86,0.47,193217757.0,746071401.872493
银行,20240319,4.81,0.47,191518457.0,739315997.875404
银行,20240320,4.85,0.47,192993390.0,745999292.716522
银行,20240321,4.89,0.48,194386549.0,750300931.888399
银行,20240322,4.87,0.47,193712422.0,750012513.341517
银行,20240325,4.89,0.48,194523664.0,753851434.821021
银行,20240326,4.95,0.48,197314881.0,762442920.336215
银行,20240327,4.97,0.48,198134808.0,767204390.317408
银行,20240328,4.92,0.47,195392375.0,753413327.980831
银行,20240329,4.97,0.47,195485979.0,756393715.920566
银行,20240401,5.02,0.48,197353331.0,761683654.243059
银行,20240402,5.03,0.48,197639228.0,767883937.821206
银行,20240403,5.0,0.47,196535906.0,765220940.627557
银行,20240408,5.03,0.48,197652036.0,772122192.345148
银行,20240409,5.0,0.47,196742782.0,765829308.938828
银行,20240410,5.01,0.47,196969809.0,767130210.581783
银行,20240411,5.0,0.47,196528528.0,764701106.318728
银行,20240412,4.97,0.47,195451214.0,762570988.901157
银行,20240415,5.06,0.48,199057648.0,778023018.893769
银行,20240416,5.06,0.48,199112459.0,781686309.535622
银行,20240417,5.15,0.49,202516897.0,793185011.462029
银行,20240418,5.2,0.49,204522580.0,801498920.180919
银行,20240419,5.19,0.49,204214681.0,801023809.120279
银行,20240422,5.15,0.49,202711085.0,793195268.239176
银行,20240423,5.15,0.49,202502979.0,793537764.858015
银行,20240424,5.13,0.48,201904602.0,790527258.816838
银行,20240425,5.2,0.49,204788727.0,799125429.135108
银行,20240426,5.15,0.48,201996598.0,786513107.764831
银行,20240429,5.2,0.48,204059867.0,789338239.383195
银行,20240430,5.23,0.48,204992635.0,792707476.276936
银行,20240506,5.22,0.48,204986961.0,788917792.373638
银行,20240507,5.21,0.48,204887052.0,790415858.270113
银行,20240508,5.22,0.48,204974968.0,792740242.196571
银行,20240509,5.23,0.48,205297857.0,791137553.714425
银行,20240510,5.29,0.48,207625827.0,797570106.976005
银行,20240513,5.32,0.48,208999128.0,800650706.476351
银行,20240514,5.29,0.48,207730060.0,794626317.544551
银行,20240515,5.29,0.48,207605045.0,794446319.322937
银行,20240516,5.38,0.49,211299974.0,804591178.280185
银行,20240517,5.44,0.5,213733994.0,812648330.970367
银行,20240520,5.42,0.49,212768226.0,809940237.234855
银行,20240521,5.46,0.5,214408151.0,816039236.486763
银行,20240522,5.48,0.5,215397868.0,819158629.296919
银行,20240523,5.45,0.5,214070521.0,815038881.65789
银行,20240524,5.4,0.49,212078754.0,808994191.734628
银行,20240527,5.47,0.5,214639899.0,818806795.536914
银行,20240528,5.45,0.5,213835285.0,816851116.307941
银行,20240529,5.4,0.49,212024112.0,810617706.46716
银行,20240530,5.36,0.49,210367093.0,804444692.197838
银行,20240531,5.37,0.49,210757278.0,805489464.011639
银行,20240603,5.32,0.48,208796927.0,801426430.181926
银行,20240604,5.34,0.49,209640293.0,804112875.929221
银行,20240605,5.29,0.48,207585861.0,800268817.63493
银行,20240606,5.28,0.48,207157793.0,798917253.658704
银行,20240607,5.31,0.49,208257283.0,799751954.902262
银行,20240611,5.21,0.48,204623868.0,785026370.521154
银行,20240612,5.19,0.48,203805963.0,780572067.492019
银行,20240613,5.16,0.48,202414954.0,779988801.506595
银行,20240614,5.17,0.48,203042571.0,783822332.754841
银行,20240617,5.13,0.47,201307530.0,775556731.991072
银行,20240618,5.14,0.47,201941350.0,778101066.56277
银行,20240619,5.2,0.48,204110273.0,785919848.795556
银行,20240620,46.64,0.48,21706955.0,784826760.831688
银行,20240621,5.16,0.48,202507033.0,781944936.764098
银行,20240624,5.17,0.48,202879742.0,785981717.24472
银行,20240625,5.19,0.48,204202527.0,789731999.380978
银行,20240626,5.2,0.48,204270545.0,791831167.792648
银行,20240627,5.24,0.48,205968924.0,799818359.950247
银行,20240628,5.26,0.49,206906821.0,803320812.806116
银行,20240701,5.33,0.49,209462518.0,814515886.260975
银行,20240702,5.41,0.5,212821289.0,829749386.805293
银行,20240703,5.36,0.49,210808087.0,821499360.020486
银行,20240704,5.37,0.5,211155027.0,825765184.080016
银行,20240705,5.26,0.48,206620178.0,808026026.059807
银行,20240708,5.28,0.49,207617823.0,814265053.648491
银行,20240709,5.31,0.49,208652941.0,819590687.023814
银行,20240710,5.29,0.49,208020061.0,820105533.544923
银行,20240711,5.21,0.48,204741247.0,807236237.66977
银行,20240712,5.3,0.49,208340937.0,823050161.331521
银行,20240715,5.35,0.49,210197532.0,834748582.519178
银行,20240716,5.32,0.49,209017756.0,825179977.832323
银行,20240717,5.34,0.49,209981214.0,824679705.746299
银行,20240718,5.33,0.49,209500593.0,823251442.360366
银行,20240719,5.32,0.49,209099824.0,822029810.089269
银行,20240722,5.24,0.48,205845226.0,810507281.814807
银行,20240723,5.28,0.49,207623056.0,822978492.809244
银行,20240724,5.27,0.49,207233725.0,824302411.984577
银行,20240725,5.22,0.48,205412960.0,817934389.03696
银行,20240726,5.15,0.47,202363199.0,803212017.97315
银行,20240729,5.22,0.48,205181417.0,815321507.895607
银行,20240730,5.2,0.48,204355564.0,813948165.118557
银行,20240731,5.19,0.48,203908102.0,804723392.441479
银行,20240801,5.2,0.48,204283440.0,807943168.891465
银行,20240802,5.17,0.48,203468022.0,806701264.643852
银行,20240805,5.13,0.47,201822954.0,801481883.18953
银行,20240806,5.08,0.47,199817995.0,792109992.738815
银行,20240807,5.09,0.47,200152524.0,792832928.57107
银行,20240808,5.1,0.47,200676083.0,795356813.741137
银行,20240809,5.12,0.47,201542231.0,800002319.571812
银行,20240812,5.11,0.47,201160526.0,801938091.941821
银行,20240813,5.13,0.47,202032868.0,805858543.090255
银行,20240814,5.13,0.47,201883889.0,806517525.59127
银行,20240815,5.2,0.48,204545069.0,814698147.005377
银行,20240816,5.26,0.49,206900098.0,825749808.389376
银行,20240819,5.35,0.49,210932934.0,843025595.844286
银行,20240820,5.37,0.49,211552044.0,848260702.534334
银行,20240821,5.33,0.49,210030856.0,841840866.795151
银行,20240822,5.38,0.49,211810370.0,851837216.618142
银行,20240823,5.41,0.5,212984229.0,855370405.954379
银行,20240826,5.41,0.5,213252181.0,855007627.894876
银行,20240827,5.43,0.5,213801346.0,861833210.360315
银行,20240828,5.38,0.49,212120224.0,854873316.3939
银行,20240829,5.21,0.48,205288586.0,823092179.41303
银行,20240830,5.09,0.47,200745812.0,799565946.866148
银行,20240902,5.07,0.46,201513979.0,806821696.727895
银行,20240903,4.99,0.46,197964128.0,786635905.075531
银行,20240904,4.97,0.45,197278142.0,784767961.643857
银行,20240905,4.96,0.45,196970064.0,781118998.594145
银行,20240906,4.97,0.45,197324011.0,783323283.656948
银行,20240909,4.88,0.45,193764700.0,774197536.199398
银行,20240910,4.92,0.45,195259124.0,782984225.127607
银行,20240911,4.81,0.44,190756431.0,762630355.409237
银行,20240912,4.84,0.44,192121820.0,766670950.858677
银行,20240913,4.82,0.44,191525049.0,764262612.619578
银行,20240918,4.87,0.45,193433670.0,774276913.777961
银行,20240919,4.87,0.45,193449307.0,773180815.682612
银行,20240920,4.91,0.45,194909585.0,778671268.042324
银行,20240923,4.99,0.46,198084796.0,789977477.262036
银行,20240924,5.2,0.48,206495852.0,824227106.508345
银行,20240925,5.3,0.48,210571934.0,835599815.71309
银行,20240926,5.5,0.5,218241084.0,859882517.341187
银行,20240927,5.45,0.5,216371973.0,844155992.819879
银行,20240930,5.71,0.52,226670069.0,876354172.184638
银行,20241008,5.88,0.54,233318099.0,889479185.020621
银行,20241009,5.51,0.5,218853103.0,848877736.03411
银行,20241010,5.74,0.53,227405970.0,881549916.45524
银行,20241011,5.68,0.52,224895206.0,876554341.342931
银行,20241014,5.87,0.54,232422641.0,905184609.073267
银行,20241015,5.74,0.53,227515551.0,883943695.427003
银行,20241016,5.89,0.54,233225077.0,903571534.800978
银行,20241017,5.8,0.53,229681161.0,892217366.206347
银行,20241018,5.83,0.53,230770278.0,894868624.347876
银行,20241021,5.76,0.53,227930911.0,879756336.011932
银行,20241022,5.76,0.53,227942373.0,879740933.024402
银行,20241023,5.78,0.53,228832266.0,881923277.408762
银行,20241024,5.76,0.53,228244095.0,881368620.24468
银行,20241025,5.73,0.52,226886489.0,875180131.923266
银行,20241028,5.68,0.52,225176015.0,867446278.523313
银行,20241029,5.68,0.52,225245019.0,868202989.424345
银行,20241030,5.61,0.51,222502267.0,856982050.852755
银行,20241031,5.58,0.5,220709594.0,854933523.845412
银行,20241101,5.61,0.5,222878088.0,865035950.606825
银行,20241104,5.65,0.51,224697480.0,868868258.245407
银行,20241105,5.7,0.51,226450150.0,874281255.127047
银行,20241106,5.65,0.51,224432288.0,866796744.83357
银行,20241107,5.77,0.52,229152321.0,880770691.945232
银行,20241108,5.68,0.51,225921072.0,870197703.222167
银行,20241111,5.6,0.5,222759449.0,858389672.439165
银行,20241112,5.55,0.5,220570537.0,850972185.065324
银行,20241113,5.58,0.5,221764937.0,855500074.076938
银行,20241114,5.59,0.5,222237792.0,858407242.686535
银行,20241115,5.57,0.5,221437822.0,856951615.639272
银行,20241118,5.68,0.51,225882726.0,875517964.523992
银行,20241119,5.67,0.51,225369924.0,871785426.743049
银行,20241120,5.64,0.51,224252438.0,869254671.990816
银行,20241121,5.63,0.5,223963960.0,868450077.436325
银行,20241122,5.51,0.49,218944178.0,852337254.214765
银行,20241125,5.51,0.49,219277799.0,854524816.467591
银行,20241126,5.57,0.5,221297225.0,864862148.788352
银行,20241127,5.62,0.5,223595311.0,872543198.906787
银行,20241128,5.61,0.5,223013954.0,871324511.330768
银行,20241129,5.61,0.5,223150981.0,868849498.391469
银行,20241202,5.59,0.5,222475423.0,867931659.898905
银行,20241203,5.68,0.51,225953981.0,881646846.150843
银行,20241204,5.68,0.51,226240861.0,884870618.800654
银行,20241205,5.67,0.51,225817259.0,883888823.002268
银行,20241206,5.74,0.51,228477140.0,892351151.117524
银行,20241209,5.76,0.52,229181917.0,896275081.076228
银行,20241210,5.82,0.52,231761127.0,906329532.026463
银行,20241211,5.75,0.52,228969877.0,892541258.811241
银行,20241212,5.83,0.52,231898916.0,904321345.175506
银行,20241213,5.71,0.51,227246057.0,891839099.833975
银行,20241216,5.76,0.52,229378784.0,904353624.948682
银行,20241217,5.75,0.52,228882799.0,902511967.47973
银行,20241218,5.82,0.52,231534684.0,910339634.222882
银行,20241219,5.77,0.52,229422247.0,900325839.937715
银行,20241220,5.76,0.52,229110581.0,900889580.875903
银行,20241223,5.85,0.52,232924467.0,919980665.836081
银行,20241224,5.93,0.53,236044683.0,931660469.916135
银行,20241225,6.0,0.54,238590430.0,943879584.278055
银行,20241226,5.98,0.54,238006502.0,941592132.704564
银行,20241227,5.98,0.54,237860744.0,941066807.781831
银行,20241230,6.05,0.54,240797408.0,951419524.86422
银行,20241231,5.99,0.54,238142500.0,943747323.689443
银行,20250102,5.85,0.52,232913234.0,922336488.645228
银行,20250103,5.81,0.52,231305263.0,915848817.175437
银行,20250106,5.86,0.53,233185824.0,922769449.19001
银行,20250107,5.89,0.53,234481640.0,927162484.253377
银行,20250108,5.93,0.53,236136413.0,930102710.124861
银行,20250109,5.89,0.53,234168910.0,921871137.968968
银行,20250110,5.84,0.52,232540074.0,916468884.511335
银行,20250113,5.78,0.52,229843780.0,904968175.428172
银行,20250114,5.86,0.53,233058672.0,914152004.70808
银行,20250115,5.91,0.53,234962800.0,919781712.235144
银行,20250116,5.96,0.53,237149258.0,926764144.745569
银行,20250117,5.92,0.53,235601922.0,919570618.250224
银行,20250120,5.9,0.53,234593064.0,914649254.550148
银行,20250121,5.9,0.53,234571409.0,914424950.245596
银行,20250122,5.79,0.52,230422636.0,898095554.610387
银行,20250123,5.92,0.53,235724114.0,919551120.454926
银行,20250124,5.93,0.53,235864523.0,918829408.075078
银行,20250127,6.01,0.54,239156634.0,935633290.176693
银行,20250205,5.91,0.53,235432641.0,918231063.632061
银行,20250206,5.91,0.53,235477497.0,917686360.517624
银行,20250207,5.89,0.53,234724055.0,915128658.665463
银行,20250210,5.91,0.53,235977636.0,915021482.0
银行,20250211,5.96,0.53,238172825.0,927115507.0
银行,20250212,6.01,0.54,240101079.0,933791920.0
银行,20250213,6.02,0.54,240294145.0,936323603.0
银行,20250214,6.04,0.54,241311776.0,940580557.0
