name,trade_date,pe,pb,float_mv,total_mv
锂电专用设备,20240102,19.84,2.88,5925756.0,12317928.556379
锂电专用设备,20240103,19.76,2.87,5896236.0,12245652.677862
锂电专用设备,20240104,19.5,2.83,5821354.0,12090328.246765
锂电专用设备,20240105,19.22,2.79,5726131.0,11882924.811461
锂电专用设备,20240108,18.8,2.73,5605856.0,11642840.584656
锂电专用设备,20240109,19.0,2.76,5661793.0,11769447.014446
锂电专用设备,20240110,19.12,2.78,5684526.0,11803587.315263
锂电专用设备,20240111,19.69,2.86,5859751.0,12165336.326081
锂电专用设备,20240112,19.65,2.85,5844361.0,12135606.5223
锂电专用设备,20240115,19.3,2.81,5740818.0,11924210.820045
锂电专用设备,20240116,19.32,2.81,5742685.0,11924042.626257
锂电专用设备,20240117,18.65,2.71,5530022.0,11474382.531352
锂电专用设备,20240118,18.84,2.74,5575848.0,11567486.739884
锂电专用设备,20240119,18.65,2.71,5504863.0,11397134.528789
锂电专用设备,20240122,17.59,2.56,5170263.0,10658566.476448
锂电专用设备,20240123,17.63,2.56,5188594.0,10701519.339887
锂电专用设备,20240124,17.65,2.57,5193485.0,10710473.81819
锂电专用设备,20240125,18.23,2.65,5362770.0,11056923.729034
锂电专用设备,20240126,17.79,2.58,5244912.0,10838242.865979
锂电专用设备,20240129,16.69,2.42,4998199.0,10324986.501052
锂电专用设备,20240130,15.9,2.31,4771533.0,9869323.013979
锂电专用设备,20240131,15.42,2.24,4629209.0,9578166.844665
锂电专用设备,20240201,15.31,2.22,4589532.0,9491837.043348
锂电专用设备,20240202,14.7,2.14,4410614.0,9142871.75526
锂电专用设备,20240205,13.87,2.02,4140611.0,8584979.090197
锂电专用设备,20240206,14.58,2.12,4390636.0,9153660.763551
锂电专用设备,20240207,14.51,2.11,4406251.0,9230214.350579
锂电专用设备,20240208,15.35,2.23,4647387.0,9697126.637084
锂电专用设备,20240219,15.6,2.27,4700911.0,9775863.986547
锂电专用设备,20240220,15.6,2.27,4705496.0,9785205.38399
锂电专用设备,20240221,15.85,2.3,4776189.0,9924770.167319
锂电专用设备,20240222,16.08,2.34,4835453.0,10035075.300849
锂电专用设备,20240223,16.55,2.4,4960238.0,10274837.645465
锂电专用设备,20240226,16.96,2.46,5079679.0,10516290.896377
锂电专用设备,20240227,17.31,2.52,5190472.0,10766294.22845
锂电专用设备,20240228,16.41,2.39,4913711.0,10179993.891652
锂电专用设备,20240229,17.13,2.49,5117885.0,10588636.19093
锂电专用设备,20240301,17.36,2.52,5181622.0,10709690.423942
锂电专用设备,20240304,17.18,2.5,5136372.0,10617249.219166
锂电专用设备,20240305,16.77,2.44,5009724.0,10349090.793525
锂电专用设备,20240306,17.02,2.47,5084070.0,10503740.406325
锂电专用设备,20240307,16.61,2.41,4969620.0,10278684.683645
锂电专用设备,20240308,16.78,2.44,5030790.0,10417980.345659
锂电专用设备,20240311,18.02,2.62,5384788.0,11127227.449503
锂电专用设备,20240312,17.81,2.59,5330121.0,11034268.689376
锂电专用设备,20240313,17.76,2.58,5324221.0,11031400.004245
锂电专用设备,20240314,17.56,2.55,5246637.0,10852931.318928
锂电专用设备,20240315,17.61,2.56,5262248.0,10889592.46063
锂电专用设备,20240318,19.0,2.76,5621991.0,11554390.071454
锂电专用设备,20240319,18.66,2.71,5521269.0,11354699.944858
锂电专用设备,20240320,18.63,2.71,5528298.0,11386024.802353
锂电专用设备,20240321,18.64,2.71,5509598.0,11322231.805036
锂电专用设备,20240322,18.18,2.64,5366571.0,11017937.756074
锂电专用设备,20240325,17.68,2.57,5218328.0,10717581.242982
锂电专用设备,20240326,18.41,2.68,5397829.0,11054078.791621
锂电专用设备,20240327,17.73,2.52,5126570.0,10550079.195244
锂电专用设备,20240328,18.01,2.56,5201340.0,10689662.400095
锂电专用设备,20240329,18.28,2.6,5269509.0,10822527.705149
锂电专用设备,20240401,18.92,2.69,5447950.0,11173578.57211
锂电专用设备,20240402,19.16,2.72,5536060.0,11354658.683951
锂电专用设备,20240403,19.06,2.71,5521602.0,11330688.713465
锂电专用设备,20240408,18.58,2.64,5374665.0,11072135.118608
锂电专用设备,20240409,19.52,2.77,5665267.0,11670438.727607
锂电专用设备,20240410,19.34,2.72,5544713.0,11411662.123309
锂电专用设备,20240411,19.24,2.7,5517241.0,11370533.852015
锂电专用设备,20240412,18.22,2.56,5244199.0,10826605.998143
锂电专用设备,20240415,17.53,2.52,5153647.0,10625052.278515
锂电专用设备,20240416,16.2,2.33,4763370.0,9825492.395102
锂电专用设备,20240417,17.02,2.44,5004547.0,10315133.016073
锂电专用设备,20240418,16.97,2.44,4981996.0,10260240.609272
锂电专用设备,20240419,16.58,2.38,4876117.0,10035003.655247
锂电专用设备,20240422,16.67,2.39,4910350.0,10143224.393219
锂电专用设备,20240423,16.57,2.39,4891108.0,10108157.212102
锂电专用设备,20240424,16.84,2.43,4962133.0,10230164.069255
锂电专用设备,20240425,24.37,2.31,4812508.0,9938285.864451
锂电专用设备,20240426,24.78,2.37,4883530.0,10071336.794817
锂电专用设备,20240429,25.85,2.48,5087657.0,10538224.926937
锂电专用设备,20240430,25.39,2.43,4991050.0,10326859.655124
锂电专用设备,20240506,32.32,2.46,5073434.0,10518750.380207
锂电专用设备,20240507,32.43,2.47,5090597.0,10565903.362008
锂电专用设备,20240508,31.56,2.41,4951795.0,10299943.885154
锂电专用设备,20240509,32.88,2.51,5159032.0,10718053.692327
锂电专用设备,20240510,32.26,2.47,5058922.0,10502300.360353
锂电专用设备,20240513,31.39,2.4,4915531.0,10180824.62185
锂电专用设备,20240514,31.31,2.39,4903218.0,10145726.043443
锂电专用设备,20240515,30.74,2.35,4938913.0,9977783.665365
锂电专用设备,20240516,30.52,2.33,4904601.0,9911205.697109
锂电专用设备,20240517,30.93,2.36,4966550.0,10029446.944831
锂电专用设备,20240520,30.96,2.36,4980575.0,10058738.422791
锂电专用设备,20240521,30.61,2.34,4929062.0,9978121.069607
锂电专用设备,20240522,31.49,2.4,5118178.0,10368343.217517
锂电专用设备,20240523,30.9,2.36,5022442.0,10147325.989252
锂电专用设备,20240524,30.52,2.33,4937266.0,9959243.218875
锂电专用设备,20240527,30.51,2.33,4923458.0,9942632.113221
锂电专用设备,20240528,30.27,2.31,4879003.0,9849458.364045
锂电专用设备,20240529,30.64,2.34,4947513.0,9988141.058801
锂电专用设备,20240530,30.25,2.31,4880932.0,9868270.172202
锂电专用设备,20240531,30.34,2.31,4892425.0,9873027.229751
锂电专用设备,20240603,29.7,2.27,4791727.0,9668131.182676
锂电专用设备,20240604,29.76,2.28,4808136.0,9708292.18224
锂电专用设备,20240605,29.56,2.24,4771076.0,9611388.651701
锂电专用设备,20240606,28.43,2.15,4583123.0,9239848.858962
锂电专用设备,20240607,28.3,2.14,4567762.0,9215947.865935
锂电专用设备,20240611,28.53,2.16,4602033.0,9287047.931278
锂电专用设备,20240612,28.67,2.17,4629403.0,9331980.743369
锂电专用设备,20240613,28.71,2.17,4635991.0,9383172.633032
锂电专用设备,20240614,28.9,2.19,4661242.0,9407172.656814
锂电专用设备,20240617,29.56,2.24,4763503.0,9604135.700235
锂电专用设备,20240618,29.88,2.26,4813062.0,9688552.841696
锂电专用设备,20240619,29.21,2.21,4703502.0,9465034.868579
锂电专用设备,20240620,,2.14,,9192043.322891
锂电专用设备,20240621,23.62,2.11,4484329.0,9059950.122946
锂电专用设备,20240624,22.72,2.03,4308224.0,8710810.818779
锂电专用设备,20240625,22.42,2.0,4253057.0,8607933.051651
锂电专用设备,20240626,23.01,2.05,4370659.0,8860035.166044
锂电专用设备,20240627,22.33,1.99,4239997.0,8602327.9544
锂电专用设备,20240628,22.38,2.0,4248930.0,8620460.598988
锂电专用设备,20240701,22.25,1.98,4229412.0,8527057.341633
锂电专用设备,20240702,21.87,1.93,4174019.0,8354681.091815
锂电专用设备,20240703,21.72,1.92,4142404.0,8289542.746273
锂电专用设备,20240704,21.02,1.86,4008700.0,8017474.424444
锂电专用设备,20240705,21.12,1.86,4032051.0,8052433.068981
锂电专用设备,20240708,20.64,1.82,3935241.0,7865852.910327
锂电专用设备,20240709,21.03,1.86,4003012.0,7985065.600471
锂电专用设备,20240710,21.05,1.86,3999486.0,7973367.556813
锂电专用设备,20240711,21.98,1.93,4133762.0,8288605.917049
锂电专用设备,20240712,22.02,1.93,4149984.0,8304098.274194
锂电专用设备,20240715,21.51,1.89,4068094.0,8134427.145281
锂电专用设备,20240716,21.72,1.91,4104998.0,8212103.15133
锂电专用设备,20240717,21.6,1.9,4075572.0,8147157.385015
锂电专用设备,20240718,21.62,1.9,4080232.0,8151596.492493
锂电专用设备,20240719,21.84,1.92,4127112.0,8251632.931395
锂电专用设备,20240722,21.61,1.9,4082816.0,8170648.27047
锂电专用设备,20240723,20.89,1.83,3945925.0,7886801.595392
锂电专用设备,20240724,20.45,1.79,3859286.0,7705476.967534
锂电专用设备,20240725,20.65,1.81,3900937.0,7796003.093674
