name,trade_date,pe,pb,float_mv,total_mv
锂电池,20240102,17.79,3.01,57220522.0,104859932.380994
锂电池,20240103,17.71,2.99,56915574.0,104279405.262959
锂电池,20240104,17.21,2.91,55369819.0,101488829.790951
锂电池,20240105,17.14,2.9,54996441.0,100924690.377985
锂电池,20240108,16.99,2.87,54447487.0,99967689.748795
锂电池,20240109,16.89,2.85,54192446.0,99433085.661621
锂电池,20240110,17.07,2.89,54789963.0,100570722.935824
锂电池,20240111,17.63,2.98,56679241.0,104043643.086389
锂电池,20240112,17.58,2.97,56462869.0,103595276.353054
锂电池,20240115,17.25,2.92,55413575.0,101660531.004042
锂电池,20240116,17.73,3.0,56838796.0,104286836.921982
锂电池,20240117,17.15,2.9,54952694.0,100795812.841563
锂电池,20240118,17.39,2.94,55679428.0,102045112.526965
锂电池,20240119,17.41,2.94,55633687.0,101844542.788644
锂电池,20240122,17.26,2.92,54891613.0,100515563.976934
锂电池,20240123,17.09,2.89,54410386.0,99628782.699277
锂电池,20240124,17.01,2.88,54146475.0,99133947.039601
锂电池,20240125,17.24,2.91,54890354.0,100488268.639786
锂电池,20240126,16.72,2.83,53294420.0,97565011.666257
锂电池,20240129,16.31,2.76,51835554.0,95031437.275079
锂电池,20240130,15.68,2.65,49852938.0,91412054.9892
锂电池,20240131,16.49,2.79,52049384.0,95238310.613745
锂电池,20240201,16.2,2.74,51160670.0,93565592.219717
锂电池,20240202,15.8,2.67,49759891.0,91006779.323107
锂电池,20240205,16.12,2.72,50446582.0,92168397.548934
锂电池,20240206,16.9,2.86,53001282.0,96827110.436775
锂电池,20240207,17.13,2.9,53975275.0,98514781.863813
锂电池,20240208,17.58,2.95,55428292.0,100821463.962564
锂电池,20240219,17.34,2.91,54676574.0,99484729.384203
锂电池,20240220,17.17,2.87,54402803.0,98621626.346634
锂电池,20240221,17.47,2.92,55350369.0,100326586.162759
锂电池,20240222,17.44,2.92,55246736.0,100135140.888422
锂电池,20240223,17.53,2.93,55622290.0,100886919.726575
锂电池,20240226,17.17,2.87,54553568.0,98919925.669174
锂电池,20240227,17.41,2.91,55354077.0,100384966.711835
锂电池,20240228,17.22,2.88,54609005.0,98952364.821995
锂电池,20240229,17.97,3.01,56946421.0,103173757.43971
锂电池,20240301,18.13,3.03,57442011.0,104056010.211675
锂电池,20240304,18.04,3.02,57128183.0,103487711.785226
锂电池,20240305,18.03,3.01,56996842.0,103250327.773157
锂电池,20240306,17.99,3.01,56916395.0,103130277.972301
锂电池,20240307,17.59,2.94,55643143.0,100878790.465087
锂电池,20240308,17.41,2.91,55133664.0,99932724.173479
锂电池,20240311,19.72,3.3,62330256.0,112948206.592943
锂电池,20240312,20.18,3.38,63657742.0,115297156.801436
锂电池,20240313,20.14,3.37,63502832.0,115016502.016989
锂电池,20240314,19.95,3.34,62860515.0,113891553.594023
锂电池,20240315,19.67,3.29,62055144.0,112481233.05386
锂电池,20240318,20.69,3.27,64924013.0,117643423.701271
锂电池,20240319,20.36,3.22,63940875.0,115865061.887544
锂电池,20240320,20.62,3.26,64754959.0,117350128.471791
锂电池,20240321,20.54,3.25,64425189.0,116753987.980296
锂电池,20240322,20.22,3.17,61850111.0,114622763.422401
锂电池,20240325,19.93,3.12,60891286.0,112895563.440106
锂电池,20240326,20.73,3.22,63251322.0,117273733.012813
锂电池,20240327,20.16,3.13,61413345.0,113910240.738841
锂电池,20240328,20.32,3.16,61915016.0,114837400.649465
锂电池,20240329,20.47,3.18,62398185.0,115705756.993134
锂电池,20240401,21.31,3.31,64953614.0,120407814.425951
锂电池,20240402,21.55,3.35,65733383.0,121885580.880002
锂电池,20240403,21.26,3.31,64914982.0,120341997.452423
锂电池,20240408,20.83,3.24,63502722.0,117709510.064443
锂电池,20240409,21.17,3.3,64806134.0,120157327.908469
锂电池,20240410,20.84,3.24,63704335.0,118233670.799766
锂电池,20240411,20.81,3.22,63422052.0,117779649.333356
锂电池,20240412,20.27,3.14,61672696.0,114541218.306823
锂电池,20240415,20.95,3.25,63657591.0,118373053.270829
锂电池,20240416,20.68,3.12,62621343.0,116344169.686606
锂电池,20240417,20.76,3.13,63003725.0,117064743.660259
锂电池,20240418,20.7,3.12,62797440.0,116687267.411788
锂电池,20240419,20.26,3.03,61203756.0,113725491.674379
锂电池,20240422,19.99,3.02,60996378.0,113319023.87157
锂电池,20240423,19.95,3.01,60844562.0,113064331.7043
锂电池,20240424,19.88,3.0,60657051.0,112750303.570034
锂电池,20240425,20.29,3.05,61914219.0,115062414.815606
锂电池,20240426,20.82,3.13,63524906.0,117904529.086387
锂电池,20240429,22.19,3.3,67009129.0,124389546.473094
锂电池,20240430,21.53,3.2,65033928.0,120643957.178919
锂电池,20240506,22.55,3.11,66693626.0,123718994.829259
锂电池,20240507,22.54,3.1,66687796.0,123694394.417515
锂电池,20240508,22.1,3.04,65395930.0,121323362.686247
锂电池,20240509,22.84,3.15,67571667.0,125390692.299506
锂电池,20240510,22.24,3.06,65807240.0,122067914.261168
锂电池,20240513,21.76,3.0,64347873.0,119354816.512464
锂电池,20240514,21.69,2.99,64143537.0,118987347.037419
锂电池,20240515,21.55,2.97,63749449.0,118283707.271775
锂电池,20240516,21.72,2.99,64250127.0,119205281.423511
锂电池,20240517,22.15,3.05,65514928.0,121531878.302751
锂电池,20240520,22.12,3.05,65410788.0,121405400.900892
