name,trade_date,pe,pb,float_mv,total_mv
非金属材料Ⅱ,20240102,12.51,3.37,3659234.0,9104093.800909
非金属材料Ⅱ,20240103,12.57,3.39,3663465.0,9090493.860263
非金属材料Ⅱ,20240104,12.39,3.34,3609823.0,8963789.868988
非金属材料Ⅱ,20240105,11.95,3.22,3492693.0,8702344.381484
非金属材料Ⅱ,20240108,11.78,3.17,3440005.0,8567792.821563
非金属材料Ⅱ,20240109,11.84,3.19,3448377.0,8579046.359592
非金属材料Ⅱ,20240110,11.92,3.21,3467146.0,8592705.548846
非金属材料Ⅱ,20240111,12.01,3.24,3506759.0,8662167.62514
非金属材料Ⅱ,20240112,12.1,3.26,3512379.0,8641691.414507
非金属材料Ⅱ,20240115,12.07,3.25,3500910.0,8603953.754846
非金属材料Ⅱ,20240116,12.03,3.24,3486633.0,8567392.34088
非金属材料Ⅱ,20240117,11.73,3.16,3397942.0,8367147.879613
非金属材料Ⅱ,20240118,12.01,3.24,3460096.0,8532568.511531
非金属材料Ⅱ,20240119,11.68,3.15,3376343.0,8301314.02826
非金属材料Ⅱ,20240122,11.28,3.04,3244794.0,7989260.193777
非金属材料Ⅱ,20240123,11.51,3.1,3295770.0,8108601.624368
非金属材料Ⅱ,20240124,10.81,2.91,3137588.0,7755009.803674
非金属材料Ⅱ,20240125,10.82,2.92,3159546.0,7829910.420151
非金属材料Ⅱ,20240126,10.5,2.83,3069419.0,7615773.691881
非金属材料Ⅱ,20240129,10.1,2.72,2958004.0,7368468.656967
非金属材料Ⅱ,20240130,10.02,2.7,2917513.0,7255883.245852
非金属材料Ⅱ,20240131,10.02,2.7,2898401.0,7208249.662908
非金属材料Ⅱ,20240201,9.92,2.67,2877654.0,7130855.911338
非金属材料Ⅱ,20240202,9.4,2.53,2730608.0,6791346.821519
非金属材料Ⅱ,20240205,9.13,2.46,2631235.0,6567593.170021
非金属材料Ⅱ,20240206,9.62,2.59,2794018.0,6958750.136128
非金属材料Ⅱ,20240207,10.18,2.74,2939717.0,7348051.311907
非金属材料Ⅱ,20240208,10.43,2.81,3036920.0,7584178.355595
非金属材料Ⅱ,20240219,10.29,2.77,3013493.0,7488813.090479
非金属材料Ⅱ,20240220,10.18,2.74,2990704.0,7434367.262861
非金属材料Ⅱ,20240221,10.3,2.78,3015175.0,7474236.572319
