name,trade_date,pe,pb,float_mv,total_mv
鞋帽及其他,20240102,55.64,2.11,1786076.0,4656186.450091
鞋帽及其他,20240103,54.88,2.09,1761796.0,4607554.775769
鞋帽及其他,20240104,55.1,2.09,1768717.0,4636624.748747
鞋帽及其他,20240105,53.74,2.04,1725090.0,4530893.821407
鞋帽及其他,20240108,52.73,2.0,1692749.0,4452652.580256
鞋帽及其他,20240109,53.27,2.02,1709972.0,4497456.110873
鞋帽及其他,20240110,52.65,2.0,1690975.0,4456715.179649
鞋帽及其他,20240111,52.62,2.0,1689941.0,4457464.084851
鞋帽及其他,20240112,52.27,1.99,1678749.0,4429153.618602
鞋帽及其他,20240115,52.76,2.0,1694582.0,4472150.063246
鞋帽及其他,20240116,52.79,2.01,1695704.0,4481763.312675
鞋帽及其他,20240117,52.17,1.98,1675495.0,4438538.871416
鞋帽及其他,20240118,51.91,1.97,1667176.0,4424997.352308
鞋帽及其他,20240119,52.47,1.99,1686217.0,4474556.022674
鞋帽及其他,20240122,50.24,1.91,1614426.0,4291365.689536
鞋帽及其他,20240123,49.72,1.89,1598011.0,4231308.818688
鞋帽及其他,20240124,50.95,1.94,1638439.0,4328404.862604
鞋帽及其他,20240125,51.52,1.96,1656716.0,4370718.847826
鞋帽及其他,20240126,51.1,1.94,1643132.0,4330273.889064
鞋帽及其他,20240129,48.87,1.86,1571339.0,4144404.117513
鞋帽及其他,20240130,46.85,1.78,1506564.0,3959635.445831
鞋帽及其他,20240131,43.48,1.65,1398033.0,3689293.547976
鞋帽及其他,20240201,43.18,1.64,1388507.0,3666706.239878
鞋帽及其他,20240202,41.73,1.59,1341909.0,3550071.968232
鞋帽及其他,20240205,38.73,1.47,1245459.0,3291664.966289
鞋帽及其他,20240206,37.79,1.44,1215250.0,3238028.471885
鞋帽及其他,20240207,36.08,1.37,1160084.0,3109690.877966
鞋帽及其他,20240208,39.08,1.48,1256550.0,3378503.592285
鞋帽及其他,20240219,41.35,1.57,1329636.0,3561298.854698
鞋帽及其他,20240220,41.32,1.57,1332217.0,3574542.861208
鞋帽及其他,20240221,42.32,1.61,1364290.0,3647955.553678
鞋帽及其他,20240222,43.68,1.66,1408339.0,3749008.384545
鞋帽及其他,20240223,44.61,1.7,1438438.0,3822117.530718
鞋帽及其他,20240226,45.59,1.74,1469756.0,3912874.531294
鞋帽及其他,20240227,46.29,1.76,1492599.0,3964047.711784
鞋帽及其他,20240228,42.92,1.63,1383884.0,3677891.172755
鞋帽及其他,20240229,43.85,1.67,1413631.0,3753807.948254
鞋帽及其他,20240301,44.26,1.68,1427071.0,3779211.07809
鞋帽及其他,20240304,44.38,1.69,1431656.0,3772082.401633
鞋帽及其他,20240305,43.81,1.67,1413066.0,3721618.176077
鞋帽及其他,20240306,44.51,1.69,1435958.0,3774573.367606
鞋帽及其他,20240307,44.79,1.7,1444878.0,3781139.730345
鞋帽及其他,20240308,45.45,1.72,1466162.0,3832793.777384
鞋帽及其他,20240311,46.03,1.74,1484717.0,3885997.79861
鞋帽及其他,20240312,46.44,1.76,1497920.0,3918445.297076
鞋帽及其他,20240313,46.21,1.75,1490637.0,3890794.869218
鞋帽及其他,20240314,46.36,1.76,1495496.0,3902979.146083
鞋帽及其他,20240315,47.12,1.79,1519898.0,3965021.506391
鞋帽及其他,20240318,47.48,1.8,1531630.0,3993981.940197
鞋帽及其他,20240319,47.13,1.79,1520256.0,3969172.223504
鞋帽及其他,20240320,47.36,1.8,1527822.0,3992250.757073
鞋帽及其他,20240321,47.64,1.81,1536673.0,4016029.77209
鞋帽及其他,20240322,46.82,1.78,1510380.0,3953327.043945
鞋帽及其他,20240325,46.16,1.75,1489051.0,3898410.917302
鞋帽及其他,20240326,46.65,1.77,1504892.0,3943027.869137
鞋帽及其他,20240327,45.9,1.74,1480688.0,3891010.680394
鞋帽及其他,20240328,46.68,1.77,1505749.0,3946047.891906
鞋帽及其他,20240329,47.45,1.8,1530728.0,4002239.404602
鞋帽及其他,20240401,48.69,1.85,1568782.0,4099099.228271
鞋帽及其他,20240402,48.69,1.85,1568588.0,4104943.519714
鞋帽及其他,20240403,48.59,1.84,1565506.0,4110172.458891
