name,trade_date,pe,pb,float_mv,total_mv
预加工食品,20240102,23.53,2.55,4081527.0,7457026.136004
预加工食品,20240103,23.24,2.52,4030847.0,7369905.640634
预加工食品,20240104,22.58,2.45,3916572.0,7173368.20779
预加工食品,20240105,21.87,2.37,3794091.0,6965169.080516
预加工食品,20240108,21.48,2.33,3726225.0,6850885.064508
预加工食品,20240109,21.45,2.32,3720515.0,6852672.497132
预加工食品,20240110,22.2,2.4,3849808.0,7074138.451224
预加工食品,20240111,22.29,2.41,3866862.0,7115614.587738
预加工食品,20240112,22.29,2.41,3865908.0,7097362.713604
预加工食品,20240115,22.24,2.41,3856829.0,7075528.404272
预加工食品,20240116,22.35,2.42,3877396.0,7115938.037908
预加工食品,20240117,21.81,2.36,3765284.0,6970506.71273
预加工食品,20240118,21.76,2.36,3755834.0,6942957.019101
预加工食品,20240119,21.84,2.37,3770156.0,6938845.453038
预加工食品,20240122,20.04,2.17,3459074.0,6410452.082211
预加工食品,20240123,19.23,2.08,3319067.0,6214663.970226
预加工食品,20240124,19.22,2.08,3318282.0,6221799.949992
预加工食品,20240125,19.4,2.1,3349188.0,6306201.544256
预加工食品,20240126,19.53,2.12,3370457.0,6313722.005748
预加工食品,20240129,19.05,2.06,3287816.0,6167895.87459
预加工食品,20240130,18.26,1.98,3152701.0,5914981.302245
预加工食品,20240131,17.8,1.93,3076320.0,5749594.375213
预加工食品,20240201,17.77,1.92,3069767.0,5728732.080544
预加工食品,20240202,17.21,1.86,2973140.0,5553886.560654
预加工食品,20240205,16.57,1.79,2862987.0,5330910.692555
预加工食品,20240206,17.33,1.88,2994042.0,5556358.041537
预加工食品,20240207,17.31,1.87,2991344.0,5561670.78186
预加工食品,20240208,17.95,1.94,3101555.0,5787599.904355
预加工食品,20240219,18.46,2.0,3189623.0,5913669.420252
预加工食品,20240220,18.64,2.02,3220092.0,5955686.972496
预加工食品,20240221,19.54,2.12,3375386.0,6214062.145347
预加工食品,20240222,19.5,2.11,3368484.0,6209533.047624
预加工食品,20240223,19.64,2.13,3393280.0,6248560.14455
预加工食品,20240226,19.72,2.14,3406783.0,6271420.221812
预加工食品,20240227,19.77,2.14,3414654.0,6308496.113298
预加工食品,20240228,19.24,2.09,3323912.0,6109334.917414
预加工食品,20240229,19.61,2.13,3386985.0,6221224.434146
预加工食品,20240301,19.8,2.15,3421001.0,6258474.957297
预加工食品,20240304,19.75,2.14,3411568.0,6246090.973231
预加工食品,20240305,19.48,2.11,3364860.0,6164692.838226
预加工食品,20240306,19.4,2.09,3354092.0,6107100.965356
预加工食品,20240307,19.15,2.06,3310660.0,6054988.155409
预加工食品,20240308,19.09,2.05,3299684.0,6031306.312249
预加工食品,20240311,19.75,2.12,3414212.0,6245756.016398
预加工食品,20240312,20.69,2.23,3576314.0,6510466.450528
预加工食品,20240313,20.65,2.22,3570444.0,6489678.212506
预加工食品,20240314,20.28,2.18,3506161.0,6392724.521004
预加工食品,20240315,20.52,2.21,3547583.0,6473758.424458
预加工食品,20240318,20.54,2.19,3503201.0,6414054.026222
预加工食品,20240319,20.8,2.21,3548577.0,6474028.107561
预加工食品,20240320,20.85,2.22,3555357.0,6487369.883674
预加工食品,20240321,20.97,2.23,3575955.0,6522913.984273
预加工食品,20240322,20.45,2.18,3486690.0,6385440.3926
预加工食品,20240325,19.86,2.11,3386824.0,6205123.774393
预加工食品,20240326,20.02,2.13,3414896.0,6260839.472868
预加工食品,20240327,19.64,2.09,3348889.0,6156973.208569
预加工食品,20240328,19.5,2.08,3325867.0,6113163.53898
预加工食品,20240329,19.59,2.07,3326362.0,6113355.445098
预加工食品,20240401,20.43,2.16,3468899.0,6356771.181654
预加工食品,20240402,20.53,2.17,3486839.0,6364412.310522
预加工食品,20240403,20.39,2.16,3462280.0,6352596.526388
预加工食品,20240408,20.16,2.13,3422343.0,6287826.549046
预加工食品,20240409,20.52,2.17,3483515.0,6383284.557918
预加工食品,20240410,20.14,2.13,3419835.0,6261138.490088
预加工食品,20240411,19.71,2.09,3347713.0,6153502.528245
预加工食品,20240412,19.38,2.05,3291310.0,6041375.042696
预加工食品,20240415,19.3,2.04,3276630.0,5981109.709518
预加工食品,20240416,18.65,1.97,3167576.0,5756864.32502
预加工食品,20240417,18.97,2.01,3221766.0,5871369.105081
预加工食品,20240418,19.32,2.04,3280532.0,5974918.124364
预加工食品,20240419,19.03,2.01,3231629.0,5894717.656413
预加工食品,20240422,19.33,2.04,3283223.0,5993820.887057
预加工食品,20240423,19.38,2.05,3291407.0,6002275.354775
预加工食品,20240424,19.24,2.03,3267499.0,5965240.599668
预加工食品,20240425,19.09,2.04,3255249.0,5945638.770792
预加工食品,20240426,19.51,2.02,3255969.0,5932564.544211
预加工食品,20240429,21.4,2.04,3464919.0,6257128.405089
预加工食品,20240430,21.57,2.05,3493607.0,6302257.361766
预加工食品,20240506,22.12,2.16,3666464.0,6573538.71632
预加工食品,20240507,22.18,2.16,3675179.0,6592224.727567
预加工食品,20240508,21.77,2.12,3607129.0,6485857.267447
预加工食品,20240509,21.94,2.14,3635827.0,6549444.761987
预加工食品,20240510,21.83,2.13,3617155.0,6509856.16897
预加工食品,20240513,21.89,2.13,3628237.0,6494390.846192
预加工食品,20240514,22.05,2.15,3653671.0,6556037.314452
预加工食品,20240515,21.61,2.11,3581212.0,6428328.106331
预加工食品,20240516,21.69,2.12,3595012.0,6460552.957385
预加工食品,20240517,22.14,2.17,3668731.0,6586160.704104
预加工食品,20240520,22.64,2.21,3752224.0,6718225.155797
预加工食品,20240521,22.56,2.21,3739245.0,6684808.284597
预加工食品,20240522,22.35,2.19,3704482.0,6630553.133513
预加工食品,20240523,21.75,2.13,3603815.0,6455690.849057
预加工食品,20240524,21.45,2.1,3554113.0,6389880.853294
预加工食品,20240527,21.73,2.13,3601289.0,6446932.283412
预加工食品,20240528,21.03,2.06,3485389.0,6254242.487614
预加工食品,20240529,21.1,2.06,3497161.0,6270513.252953
预加工食品,20240530,20.94,2.05,3469774.0,6220284.87033
预加工食品,20240531,20.77,2.03,3442581.0,6196371.746985
预加工食品,20240603,20.71,2.03,3432600.0,6158191.78439
预加工食品,20240604,20.92,2.05,3467567.0,6200858.432009
预加工食品,20240605,19.87,1.94,3292508.0,5928295.173054
预加工食品,20240606,19.34,1.89,3204924.0,5773381.498844
预加工食品,20240607,19.34,1.89,3205008.0,5767002.869086
预加工食品,20240611,19.19,1.88,3180545.0,5730728.979538
预加工食品,20240612,19.2,1.88,3181255.0,5752179.081362
预加工食品,20240613,18.93,1.85,3137879.0,5690158.641641
预加工食品,20240614,18.92,1.85,3134724.0,5682040.233075
预加工食品,20240617,18.61,1.82,3084388.0,5597786.940658
预加工食品,20240618,18.4,1.8,3049907.0,5545885.159176
预加工食品,20240619,18.1,1.77,3000214.0,5467917.2438
预加工食品,20240620,94.45,1.73,768644.0,5336246.974083
预加工食品,20240621,17.62,1.72,2921458.0,5325999.982055
预加工食品,20240624,17.15,1.68,2843002.0,5179151.067625
预加工食品,20240625,17.25,1.69,2859788.0,5204121.391086
预加工食品,20240626,17.56,1.72,2911205.0,5298622.615761
预加工食品,20240627,17.53,1.71,2905961.0,5266201.840877
预加工食品,20240628,17.33,1.7,2873466.0,5206790.336441
预加工食品,20240701,17.4,1.7,2884868.0,5244282.452549
预加工食品,20240702,17.41,1.7,2885963.0,5247189.690683
预加工食品,20240703,17.63,1.72,2921409.0,5315328.868429
预加工食品,20240704,17.1,1.67,2833509.0,5155191.094425
预加工食品,20240705,17.17,1.68,2845624.0,5165894.370635
预加工食品,20240708,16.62,1.63,2754111.0,4995372.138564
预加工食品,20240709,16.75,1.64,2775769.0,5027740.852022
预加工食品,20240710,16.74,1.64,2774075.0,5031280.58058
预加工食品,20240711,17.25,1.69,2859060.0,5178977.497226
预加工食品,20240712,17.18,1.68,2847111.0,5161542.351208
预加工食品,20240715,17.08,1.67,2831415.0,5126866.35154
预加工食品,20240716,16.99,1.66,2816485.0,5095505.354478
预加工食品,20240717,17.45,1.71,2891934.0,5216706.439072
预加工食品,20240718,18.13,1.77,3005372.0,5370649.722576
预加工食品,20240719,18.2,1.78,3016377.0,5386302.449246
预加工食品,20240722,17.98,1.76,2980070.0,5317907.643899
预加工食品,20240723,17.35,1.69,2906808.0,5138233.681946
预加工食品,20240724,17.02,1.66,2850706.0,5037629.33914
预加工食品,20240725,17.06,1.66,2857954.0,5063558.092923
预加工食品,20240726,17.07,1.66,2859466.0,5069060.325308
预加工食品,20240729,16.68,1.63,2793854.0,4967827.33519
预加工食品,20240730,16.7,1.63,2796598.0,4977745.910639
预加工食品,20240731,17.9,1.75,2998704.0,5300220.272739
预加工食品,20240801,17.44,1.7,2925660.0,5183945.171359
预加工食品,20240802,17.42,1.7,2921878.0,5181914.549796
预加工食品,20240805,17.57,1.71,2946689.0,5209419.155785
预加工食品,20240806,17.98,1.75,3016357.0,5327571.526338
预加工食品,20240807,17.88,1.74,2998978.0,5286520.93146
预加工食品,20240808,18.56,1.81,3113757.0,5473076.849463
预加工食品,20240809,18.17,1.77,3048547.0,5360774.392373
预加工食品,20240812,18.13,1.77,3041198.0,5348327.601088
预加工食品,20240813,18.16,1.77,3046562.0,5348679.143263
预加工食品,20240814,17.69,1.73,2968013.0,5224268.036564
预加工食品,20240815,17.54,1.71,2941828.0,5193513.680078
预加工食品,20240816,17.24,1.68,2891517.0,5107593.209558
预加工食品,20240819,17.1,1.67,2871453.0,5072105.809692
预加工食品,20240820,16.78,1.65,2817235.0,4981557.505184
预加工食品,20240821,16.52,1.62,2774180.0,4912991.816103
预加工食品,20240822,16.19,1.59,2718164.0,4821540.542912
预加工食品,20240823,16.29,1.59,2735855.0,4848454.254967
预加工食品,20240826,16.4,1.6,2753927.0,4879755.43612
预加工食品,20240827,16.59,1.62,2785296.0,4942510.777351
预加工食品,20240828,16.6,1.62,2787072.0,4947338.548476
预加工食品,20240829,16.84,1.65,2827153.0,4996713.450117
预加工食品,20240830,17.34,1.7,2911278.0,5143606.826802
预加工食品,20240902,17.01,1.66,2836150.0,5015533.494452
预加工食品,20240903,17.11,1.67,2853654.0,5044823.413019
预加工食品,20240904,17.03,1.66,2839213.0,5016905.221861
预加工食品,20240905,17.08,1.66,2848125.0,5039126.453166
预加工食品,20240906,16.68,1.63,2781339.0,4919815.890303
预加工食品,20240909,16.66,1.62,2778248.0,4925371.180486
预加工食品,20240910,16.53,1.61,2756635.0,4894091.40712
预加工食品,20240911,16.49,1.61,2750155.0,4867589.547569
预加工食品,20240912,16.15,1.57,2693359.0,4763698.639754
预加工食品,20240913,15.87,1.55,2646352.0,4678138.03499
预加工食品,20240918,15.9,1.55,2651885.0,4666590.011933
预加工食品,20240919,16.56,1.61,2762041.0,4869962.248548
预加工食品,20240920,16.42,1.6,2737854.0,4834559.860962
预加工食品,20240923,16.27,1.59,2713455.0,4793908.597128
预加工食品,20240924,17.37,1.69,2896328.0,5097509.347089
预加工食品,20240925,17.15,1.7,2859768.0,5049977.717647
预加工食品,20240926,18.65,1.85,3109797.0,5474066.305065
预加工食品,20240927,20.04,1.99,3341098.0,5837704.454395
预加工食品,20240930,21.88,2.17,3648881.0,6355220.035522
预加工食品,20241008,22.55,2.24,3761030.0,6541657.733102
预加工食品,20241009,20.86,2.07,3478980.0,6026799.827246
预加工食品,20241010,21.25,2.11,3544070.0,6130137.4357
预加工食品,20241011,20.5,2.04,3418534.0,5915648.415163
预加工食品,20241014,20.95,2.08,3493646.0,6035703.220573
