name,trade_date,pe,pb,float_mv,total_mv
食品加工,20240102,22.61,2.74,11496027.0,26322817.217312
食品加工,20240103,22.51,2.72,11445091.0,26232755.26507
食品加工,20240104,22.23,2.69,11305584.0,25987396.06073
食品加工,20240105,21.9,2.65,11137312.0,25689236.790183
食品加工,20240108,21.5,2.6,10935891.0,25296796.778367
食品加工,20240109,21.51,2.6,10939164.0,25312892.728653
食品加工,20240110,21.89,2.65,11133968.0,25700942.822466
食品加工,20240111,22.03,2.67,11204407.0,25837618.211889
食品加工,20240112,22.02,2.66,11199092.0,25841347.376719
食品加工,20240115,22.03,2.67,11203355.0,25877054.726124
食品加工,20240116,22.14,2.68,11257837.0,25999822.830963
食品加工,20240117,21.68,2.62,11004718.0,25537391.465502
食品加工,20240118,21.61,2.61,10968933.0,25461313.580717
食品加工,20240119,21.57,2.61,10951665.0,25373403.858416
食品加工,20240122,20.35,2.46,10332676.0,24142344.915735
食品加工,20240123,20.22,2.45,10265204.0,24155959.699519
食品加工,20240124,20.4,2.47,10357771.0,24374705.559578
食品加工,20240125,20.79,2.52,10552593.0,24848651.668085
食品加工,20240126,20.84,2.52,10580088.0,24914164.951206
食品加工,20240129,20.53,2.48,10423877.0,24619835.47935
食品加工,20240130,20.01,2.42,10159801.0,24094837.964103
食品加工,20240131,19.64,2.38,9976324.0,23769648.032091
食品加工,20240201,19.62,2.37,9966563.0,23754817.312661
食品加工,20240202,19.21,2.32,9758298.0,23328429.854181
食品加工,20240205,18.85,2.28,9572254.0,23050064.492105
食品加工,20240206,19.61,2.37,9960608.0,23811417.284103
食品加工,20240207,19.78,2.39,10047494.0,23993789.181151
食品加工,20240208,20.08,2.43,10199853.0,24215157.388472
食品加工,20240219,20.38,2.47,10350635.0,24567650.530094
食品加工,20240220,20.54,2.49,10431839.0,24784296.947946
食品加工,20240221,20.95,2.54,10636473.0,25134676.830919
食品加工,20240222,21.02,2.54,10673652.0,25243333.745283
食品加工,20240223,21.04,2.55,10685877.0,25224340.330243
食品加工,20240226,21.05,2.55,10688987.0,25205464.790118
食品加工,20240227,21.15,2.56,10738090.0,25325849.759649
食品加工,20240228,20.91,2.5,10627717.0,24828460.374782
食品加工,20240229,21.19,2.54,10769839.0,25073502.583132
食品加工,20240301,21.15,2.53,10752544.0,25008859.344371
食品加工,20240304,21.19,2.54,10772115.0,25105592.905618
食品加工,20240305,21.1,2.52,10724692.0,25086216.274543
食品加工,20240306,20.97,2.5,10660446.0,24848482.735849
食品加工,20240307,20.86,2.49,10608478.0,24840934.563563
食品加工,20240308,20.75,2.48,10548607.0,24647768.50226
食品加工,20240311,21.14,2.52,10749491.0,25016720.869621
食品加工,20240312,21.49,2.56,10925732.0,25217091.423112
食品加工,20240313,21.33,2.55,10845324.0,25019111.726817
食品加工,20240314,21.2,2.53,10778470.0,24941761.002994
食品加工,20240315,21.4,2.55,10878166.0,25158385.174638
食品加工,20240318,21.52,2.56,10891319.0,25242346.36135
食品加工,20240319,21.76,2.57,10942142.0,25297132.243375
食品加工,20240320,21.82,2.58,10970532.0,25386264.161616
食品加工,20240321,21.95,2.6,11037720.0,25519105.828337
食品加工,20240322,21.55,2.55,10836885.0,25126622.099761
食品加工,20240325,21.2,2.51,10660782.0,24771359.433919
食品加工,20240326,21.32,2.52,10718717.0,24931341.139579
食品加工,20240327,21.7,2.43,10382389.0,23941217.442179
食品加工,20240328,22.13,2.42,10337519.0,23849535.353734
食品加工,20240329,22.46,2.45,10477152.0,24224203.07027
食品加工,20240401,23.0,2.51,10727781.0,24759415.18918
食品加工,20240402,22.88,2.5,10670233.0,24667178.814258
食品加工,20240403,22.83,2.49,10648202.0,24644054.665119
食品加工,20240408,22.59,2.46,10536757.0,24433376.488127
食品加工,20240409,22.85,2.49,10658545.0,24614343.549246
食品加工,20240410,22.59,2.46,10536982.0,24403413.169435
食品加工,20240411,22.42,2.45,10458721.0,24294353.007093
食品加工,20240412,22.17,2.42,10350055.0,24095477.646287
食品加工,20240415,22.03,2.4,10287236.0,23950853.867163
食品加工,20240416,21.59,2.39,10080596.0,23528787.654375
食品加工,20240417,21.94,2.43,10246738.0,23849318.000902
食品加工,20240418,22.2,2.46,10365173.0,24157403.570712
食品加工,20240419,22.06,2.44,10299636.0,24054968.640138
食品加工,20240422,21.99,2.45,10300860.0,24090444.606975
食品加工,20240423,21.91,2.42,10286637.0,24013184.000468
食品加工,20240424,21.92,2.43,10283962.0,24038890.018993
食品加工,20240425,22.07,2.42,10258650.0,23984002.496849
食品加工,20240426,22.23,2.4,10253975.0,23895228.893916
食品加工,20240429,23.09,2.42,10536333.0,24344512.139074
食品加工,20240430,22.98,2.44,10604643.0,24508776.030371
食品加工,20240506,24.8,2.48,10795495.0,24765151.126247
食品加工,20240507,24.76,2.48,10777589.0,24723514.300478
食品加工,20240508,24.73,2.47,10763080.0,24823058.613311
食品加工,20240509,24.82,2.48,10802882.0,24889294.684413
食品加工,20240510,24.79,2.48,10791348.0,24899899.004274
食品加工,20240513,24.67,2.47,10737870.0,24740725.370103
食品加工,20240514,24.83,2.48,10805402.0,24870451.421606
食品加工,20240515,24.42,2.44,10629151.0,24445755.737478
食品加工,20240516,24.33,2.44,10591201.0,24285681.663916
食品加工,20240517,24.57,2.46,10692360.0,24485212.563023
食品加工,20240520,24.9,2.49,10839316.0,24792057.056697
食品加工,20240521,24.87,2.49,10823391.0,24765090.943676
食品加工,20240522,24.69,2.47,10745700.0,24603279.941917
食品加工,20240523,24.13,2.42,10504777.0,24093605.687485
食品加工,20240524,24.04,2.41,10461503.0,24046986.491666
食品加工,20240527,24.24,2.43,10551947.0,24234396.995768
食品加工,20240528,23.77,2.38,10346072.0,23834189.162619
食品加工,20240529,23.78,2.38,10349317.0,23846889.384649
食品加工,20240530,23.58,2.36,10261310.0,23620528.962599
食品加工,20240531,23.48,2.35,10217859.0,23534189.054748
食品加工,20240603,23.45,2.35,10207970.0,23523937.993323
食品加工,20240604,23.52,2.36,10237999.0,23556083.297349
食品加工,20240605,22.89,2.29,9963837.0,23036328.319584
食品加工,20240606,22.43,2.25,9761557.0,22615257.344066
食品加工,20240607,22.48,2.25,9785636.0,22644228.451151
食品加工,20240611,22.46,2.25,9776985.0,22652687.315345
食品加工,20240612,22.57,2.26,9824089.0,22816528.320325
食品加工,20240613,22.27,2.23,9691522.0,22559212.578286
食品加工,20240614,22.35,2.24,9726691.0,22653815.490785
食品加工,20240617,22.06,2.21,9598108.0,22363147.842245
食品加工,20240618,21.93,2.2,9538517.0,22213528.632262
食品加工,20240619,21.71,2.18,9447657.0,22038013.451425
食品加工,20240620,47.35,2.13,4996020.0,21553624.677915
食品加工,20240621,21.18,2.12,9216094.0,21494961.073609
食品加工,20240624,20.67,2.07,8991952.0,20986325.817815
食品加工,20240625,20.81,2.09,9055084.0,21104910.929806
食品加工,20240626,21.03,2.11,9148539.0,21290387.377984
食品加工,20240627,20.87,2.09,9078550.0,21117777.847483
食品加工,20240628,20.75,2.08,9029728.0,21009105.990412
食品加工,20240701,21.03,2.11,9149376.0,21331102.669534
食品加工,20240702,21.06,2.11,9165023.0,21310572.230854
食品加工,20240703,21.08,2.11,9170296.0,21284554.200284
食品加工,20240704,20.58,2.06,8952266.0,20786800.200046
食品加工,20240705,20.69,2.07,8999700.0,20861799.58368
食品加工,20240708,20.17,2.02,8775247.0,20375509.541453
食品加工,20240709,20.23,2.02,8800355.0,20429475.630438
食品加工,20240710,20.26,2.03,8813848.0,20549494.234522
