name,trade_date,pe,pb,float_mv,total_mv
食品及饲料添加剂,20240102,15.12,1.82,7473154.0,16778082.475869
食品及饲料添加剂,20240103,15.21,1.83,7474223.0,16814714.382887
食品及饲料添加剂,20240104,15.12,1.82,7404668.0,16664486.434143
食品及饲料添加剂,20240105,14.98,1.8,7320476.0,16478151.404216
食品及饲料添加剂,20240108,14.78,1.78,7224921.0,16240448.608747
食品及饲料添加剂,20240109,14.91,1.79,7357794.0,16385541.35977
食品及饲料添加剂,20240110,14.9,1.79,7359104.0,16382139.528957
食品及饲料添加剂,20240111,15.13,1.82,7430291.0,16536058.0548
食品及饲料添加剂,20240112,15.17,1.82,7437367.0,16517200.414103
食品及饲料添加剂,20240115,15.14,1.82,7450828.0,16532982.511342
食品及饲料添加剂,20240116,15.07,1.81,7436837.0,16477731.951939
食品及饲料添加剂,20240117,14.79,1.78,7291474.0,16149926.330231
食品及饲料添加剂,20240118,14.69,1.76,7264618.0,16042034.056155
食品及饲料添加剂,20240119,14.53,1.75,7169639.0,15827730.721796
食品及饲料添加剂,20240122,13.88,1.67,6845055.0,15067379.272589
食品及饲料添加剂,20240123,14.04,1.69,6891611.0,15145206.028617
食品及饲料添加剂,20240124,14.16,1.7,6923036.0,15208387.239937
食品及饲料添加剂,20240125,14.54,1.75,7059794.0,15626881.975969
食品及饲料添加剂,20240126,14.55,1.75,7071092.0,15667941.116384
食品及饲料添加剂,20240129,14.29,1.72,6926514.0,15332286.217476
食品及饲料添加剂,20240130,13.95,1.68,6789492.0,14976791.209783
食品及饲料添加剂,20240131,13.59,1.63,6643308.0,14629862.927141
食品及饲料添加剂,20240201,13.44,1.61,6616058.0,14480033.094465
食品及饲料添加剂,20240202,13.21,1.59,6538173.0,14179866.967658
食品及饲料添加剂,20240205,12.78,1.54,6365766.0,13714811.668341
食品及饲料添加剂,20240206,13.36,1.61,6700488.0,14493772.582607
食品及饲料添加剂,20240207,13.68,1.64,6818208.0,14795456.811148
食品及饲料添加剂,20240208,14.09,1.69,6957461.0,15206841.091957
食品及饲料添加剂,20240219,14.15,1.7,6960792.0,15275564.930777
食品及饲料添加剂,20240220,14.18,1.7,6957755.0,15276642.612431
食品及饲料添加剂,20240221,14.24,1.71,7002103.0,15465321.408121
食品及饲料添加剂,20240222,14.24,1.71,6987114.0,15421128.728747
食品及饲料添加剂,20240223,14.31,1.72,7006586.0,15479627.886547
食品及饲料添加剂,20240226,14.32,1.72,7060798.0,15582878.88684
食品及饲料添加剂,20240227,14.63,1.76,7185303.0,15885479.202145
食品及饲料添加剂,20240228,14.31,1.72,6960169.0,15425429.754115
食品及饲料添加剂,20240229,14.54,1.75,7113399.0,15747539.110004
食品及饲料添加剂,20240301,14.51,1.74,7079057.0,15671535.024578
食品及饲料添加剂,20240304,14.4,1.73,7036310.0,15571224.51196
食品及饲料添加剂,20240305,14.28,1.71,6998859.0,15466711.200454
食品及饲料添加剂,20240306,14.23,1.71,7003897.0,15454892.293565
食品及饲料添加剂,20240307,14.28,1.72,6992664.0,15424308.145967
食品及饲料添加剂,20240308,14.37,1.73,7136335.0,15691608.342523
食品及饲料添加剂,20240311,14.6,1.75,7220583.0,15895937.570685
食品及饲料添加剂,20240312,14.58,1.75,7223972.0,15949097.89464
食品及饲料添加剂,20240313,14.43,1.73,7158789.0,15820565.476142
食品及饲料添加剂,20240314,14.38,1.73,7138124.0,15749724.527754
食品及饲料添加剂,20240315,14.43,1.73,7160078.0,15830795.361784
食品及饲料添加剂,20240318,14.55,1.75,7199917.0,15952894.126098
食品及饲料添加剂,20240319,14.62,1.78,7269060.0,16045445.533422
食品及饲料添加剂,20240320,14.44,1.75,7209629.0,15982324.681433
食品及饲料添加剂,20240321,14.42,1.75,7163512.0,15889401.593361
食品及饲料添加剂,20240322,14.24,1.73,7079348.0,15698259.074858
食品及饲料添加剂,20240325,14.11,1.71,7045827.0,15591084.705701
食品及饲料添加剂,20240326,14.18,1.72,7100073.0,15708088.745329
食品及饲料添加剂,20240327,14.14,1.71,7023910.0,15525872.793382
食品及饲料添加剂,20240328,14.14,1.71,7007991.0,15489245.320364
食品及饲料添加剂,20240329,14.37,1.73,7092371.0,15695772.436515
食品及饲料添加剂,20240401,14.66,1.76,7191306.0,15981517.045764
食品及饲料添加剂,20240402,14.86,1.79,7283223.0,16175605.438522
食品及饲料添加剂,20240403,14.99,1.8,7330894.0,16276782.399679
食品及饲料添加剂,20240408,14.62,1.76,7161689.0,15936755.122557
食品及饲料添加剂,20240409,14.54,1.72,7141796.0,15963748.535094
食品及饲料添加剂,20240410,14.33,1.71,7064619.0,15773357.871099
食品及饲料添加剂,20240411,14.62,1.74,7190375.0,16000225.28202
食品及饲料添加剂,20240412,14.68,1.75,7218908.0,16089572.923333
