name,trade_date,pe,pb,float_mv,total_mv
食品饮料,20240102,24.62,5.17,213287922.0,511729586.020044
食品饮料,20240103,24.58,5.16,213008352.0,511316372.91209
食品饮料,20240104,24.16,5.07,209320984.0,502275960.108371
食品饮料,20240105,23.98,5.03,207737869.0,498448986.599881
食品饮料,20240108,23.64,4.96,204797355.0,491385491.458665
食品饮料,20240109,23.62,4.96,204667549.0,490698600.403951
食品饮料,20240110,23.81,5.0,206277888.0,494237465.089147
食品饮料,20240111,23.91,5.02,207177719.0,496274709.895232
食品饮料,20240112,23.84,5.0,206560916.0,494654773.117044
食品饮料,20240115,23.75,4.99,205802735.0,492630279.39254
食品饮料,20240116,23.8,5.0,206244881.0,493473681.96879
食品饮料,20240117,23.05,4.84,199664104.0,477612291.898085
食品饮料,20240118,23.42,4.92,202869107.0,485579789.481129
食品饮料,20240119,23.59,4.95,204337449.0,489286212.525452
食品饮料,20240122,23.2,4.87,200964205.0,481832687.310386
食品饮料,20240123,23.04,4.84,199595320.0,478656894.377277
食品饮料,20240124,23.14,4.86,200488342.0,480765394.854779
食品饮料,20240125,23.51,4.94,203727209.0,488270036.118487
食品饮料,20240126,23.5,4.93,203608358.0,487718116.98349
食品饮料,20240129,23.59,4.95,204409624.0,489638735.109904
食品饮料,20240130,22.95,4.82,198803235.0,476140900.265419
食品饮料,20240131,22.64,4.75,196168852.0,470041885.299607
食品饮料,20240201,22.68,4.76,196481174.0,471286034.478284
食品饮料,20240202,22.46,4.71,194577758.0,467364128.127658
食品饮料,20240205,22.63,4.75,196053062.0,471299135.115216
食品饮料,20240206,23.47,4.93,203383901.0,488681784.913427
食品饮料,20240207,23.91,5.02,207172531.0,498085841.590668
食品饮料,20240208,23.94,5.02,207391785.0,498444621.604421
食品饮料,20240219,23.98,5.03,207739033.0,499541529.668225
食品饮料,20240220,23.78,4.99,206055305.0,495076083.835558
食品饮料,20240221,24.59,5.16,213085447.0,512316775.891921
食品饮料,20240222,24.69,5.18,213903954.0,514478917.588304
食品饮料,20240223,24.73,5.19,214234744.0,515040865.772568
食品饮料,20240226,24.46,5.14,211971455.0,509121390.069964
食品饮料,20240227,24.47,5.14,212059042.0,509211500.423914
食品饮料,20240228,24.22,5.08,209916529.0,504164801.766349
食品饮料,20240229,24.6,5.16,213239233.0,511932174.704932
食品饮料,20240301,24.56,5.15,212879911.0,511084707.800789
食品饮料,20240304,24.37,5.11,211229790.0,507407745.364761
食品饮料,20240305,24.61,5.16,213255525.0,512380580.467729
食品饮料,20240306,24.32,5.1,210783645.0,506464176.497247
食品饮料,20240307,24.26,5.09,210274065.0,505396917.099391
食品饮料,20240308,24.12,5.06,209015500.0,502390177.3643
食品饮料,20240311,24.6,5.16,213198224.0,512442201.88705
食品饮料,20240312,25.46,5.34,220709667.0,530790497.110807
食品饮料,20240313,25.26,5.3,218971009.0,526740900.895087
食品饮料,20240314,25.19,5.28,218363422.0,524944723.859509
食品饮料,20240315,25.35,5.31,219711772.0,527366484.625046
食品饮料,20240318,25.36,5.32,219863643.0,527428771.590359
食品饮料,20240319,25.54,5.35,221243919.0,530576913.086704
食品饮料,20240320,25.49,5.34,220824468.0,529691033.267991
食品饮料,20240321,25.53,5.34,221116532.0,530512343.664667
食品饮料,20240322,25.15,5.26,217833250.0,522865342.241716
食品饮料,20240325,24.91,5.21,215745263.0,518177517.258125
食品饮料,20240326,25.24,5.28,218661507.0,525768320.320058
食品饮料,20240327,25.04,5.22,216262506.0,519930538.964306
食品饮料,20240328,25.06,5.22,216257635.0,519932916.345369
食品饮料,20240329,25.07,5.23,216613842.0,520579115.055102
食品饮料,20240401,25.23,5.3,220816892.0,530455824.856689
食品饮料,20240402,25.08,5.27,219479527.0,527538120.511769
食品饮料,20240403,24.68,5.17,219420374.0,527485073.109436
食品饮料,20240408,23.93,5.01,212735597.0,511730473.229179
食品饮料,20240409,23.92,5.01,212698841.0,511419898.760513
食品饮料,20240410,23.63,4.95,210051492.0,505303360.429468
食品饮料,20240411,23.59,4.94,209715218.0,504641326.496699
食品饮料,20240412,23.28,4.87,206971385.0,498308493.727767
食品饮料,20240415,23.83,4.99,211942699.0,510597936.333462
食品饮料,20240416,23.55,4.94,209374419.0,504501799.32539
食品饮料,20240417,23.65,4.96,210303335.0,506404152.355874
食品饮料,20240418,23.74,4.98,211146093.0,508343751.210658
食品饮料,20240419,23.45,4.91,208554441.0,501921017.346182
食品饮料,20240422,23.81,4.99,211896149.0,510359746.384647
食品饮料,20240423,24.03,5.04,213915352.0,515146841.13908
食品饮料,20240424,24.12,5.04,214424284.0,516187429.005994
食品饮料,20240425,24.08,5.03,214015727.0,515262101.807515
食品饮料,20240426,24.43,5.05,216898894.0,522315015.885766
食品饮料,20240429,24.39,4.77,218237161.0,525147858.14022
食品饮料,20240430,24.45,4.68,218317929.0,525644790.434284
食品饮料,20240506,23.72,4.82,224620482.0,540954105.539457
食品饮料,20240507,23.79,4.83,225289426.0,543076123.491195
食品饮料,20240508,23.62,4.8,223695269.0,539390324.928747
食品饮料,20240509,23.62,4.8,223714170.0,539388951.686801
食品饮料,20240510,23.45,4.76,222074211.0,535676643.564469
食品饮料,20240513,23.05,4.68,218317197.0,526223994.209082
食品饮料,20240514,23.1,4.69,218730379.0,527012087.72599
食品饮料,20240515,22.99,4.67,217765949.0,524652395.409505
食品饮料,20240516,23.11,4.69,218862622.0,526879887.691598
食品饮料,20240517,23.36,4.75,221237218.0,532185460.468412
食品饮料,20240520,23.44,4.76,221992060.0,533326689.941836
食品饮料,20240521,23.42,4.76,221760487.0,532451668.81025
食品饮料,20240522,23.24,4.72,220081948.0,528350229.401104
食品饮料,20240523,22.99,4.67,217782489.0,522686477.740712
食品饮料,20240524,22.72,4.62,215260924.0,516571807.383435
食品饮料,20240527,22.73,4.62,215321261.0,516529976.937787
食品饮料,20240528,22.54,4.58,213605597.0,512195668.653771
食品饮料,20240529,22.55,4.58,213734885.0,512458853.686188
食品饮料,20240530,22.23,4.52,210673387.0,505482331.251091
食品饮料,20240531,22.22,4.51,210540992.0,505120235.519964
食品饮料,20240603,22.15,4.5,209893164.0,503604872.503876
食品饮料,20240604,22.34,4.54,211749930.0,507997137.626155
食品饮料,20240605,22.03,4.49,208798358.0,502137101.331522
食品饮料,20240606,21.85,4.45,207074102.0,498009346.374177
食品饮料,20240607,21.62,4.4,204868511.0,492724171.930927
食品饮料,20240611,21.14,4.31,200408477.0,481743265.256885
食品饮料,20240612,21.17,4.31,200649902.0,482382068.72297
食品饮料,20240613,20.9,4.26,198119451.0,476552994.322678
食品饮料,20240614,20.99,4.28,198957478.0,478443671.976011
食品饮料,20240617,20.88,4.25,197872119.0,475840768.904538
食品饮料,20240618,20.61,4.2,195374206.0,470023862.632609
食品饮料,20240619,20.43,4.16,193648581.0,465501614.272308
食品饮料,20240620,61.15,4.12,56343660.0,461056562.117526
食品饮料,20240621,19.94,4.06,188974151.0,454196286.793451
食品饮料,20240624,19.95,4.06,189016031.0,454789494.2932
食品饮料,20240625,19.99,4.07,189438934.0,456110500.987411
食品饮料,20240626,20.03,4.08,189842870.0,456817834.501472
食品饮料,20240627,19.88,4.05,188357749.0,453412792.098496
食品饮料,20240628,19.6,3.99,185686686.0,446756685.846271
食品饮料,20240701,19.48,3.97,184523744.0,443491834.214691
食品饮料,20240702,19.82,4.04,187750145.0,451451343.995862
食品饮料,20240703,19.79,4.03,187441802.0,450436669.938672
食品饮料,20240704,19.54,3.98,185077838.0,445070689.899202
食品饮料,20240705,19.28,3.94,182613187.0,438646431.608473
食品饮料,20240708,18.86,3.85,178605930.0,429018175.83269
食品饮料,20240709,19.03,3.89,180266165.0,433310480.410121
食品饮料,20240710,19.03,3.89,180218574.0,433507369.773428
食品饮料,20240711,19.46,3.98,184367488.0,443296436.233748
食品饮料,20240712,19.51,3.99,184775344.0,444841244.035837
食品饮料,20240715,19.47,3.98,184444690.0,444153649.375644
食品饮料,20240716,19.44,3.97,184123842.0,443274921.246016
食品饮料,20240717,19.82,4.05,187783629.0,452017140.915487
食品饮料,20240718,19.85,4.06,188046113.0,452460456.472187
食品饮料,20240719,20.16,4.12,190932506.0,459551570.400398
食品饮料,20240722,19.81,4.05,187662524.0,451525443.359368
食品饮料,20240723,19.15,3.91,181431638.0,436239229.485836
食品饮料,20240724,18.92,3.87,179267468.0,431050929.814087
食品饮料,20240725,18.89,3.86,178947736.0,430188317.961423
食品饮料,20240726,18.88,3.86,178896346.0,430024803.927515
食品饮料,20240729,18.57,3.8,175952225.0,422831081.87543
食品饮料,20240730,18.45,3.77,174852964.0,420304445.010254
食品饮料,20240731,19.13,3.85,184012480.0,441014479.166936
食品饮料,20240801,18.71,3.77,180008334.0,431454962.130701
