name,trade_date,pe,pb,float_mv,total_mv
饮料乳品,20240102,18.76,3.08,23000767.0,39653919.160384
饮料乳品,20240103,18.67,3.06,22898006.0,39622431.135348
饮料乳品,20240104,18.57,3.05,22774283.0,39315871.185455
饮料乳品,20240105,18.56,3.05,22764565.0,39134390.50069
饮料乳品,20240108,18.44,3.03,22616008.0,38699309.415672
饮料乳品,20240109,18.5,3.04,22690860.0,38644430.266929
饮料乳品,20240110,18.75,3.08,22991499.0,39253212.28287
饮料乳品,20240111,18.81,3.09,23063388.0,39357311.645586
饮料乳品,20240112,18.86,3.1,23133206.0,39405490.175526
饮料乳品,20240115,18.88,3.1,23147352.0,39555389.972932
饮料乳品,20240116,19.05,3.13,23357509.0,39873671.899372
饮料乳品,20240117,18.63,3.06,22849161.0,38897107.099807
饮料乳品,20240118,18.72,3.07,22959947.0,38905213.574606
饮料乳品,20240119,18.73,3.07,22973077.0,38862956.70973
饮料乳品,20240122,18.31,3.0,22457935.0,37604205.031791
饮料乳品,20240123,18.24,2.99,22367630.0,37541906.413372
饮料乳品,20240124,18.49,3.03,22676185.0,37950753.297785
饮料乳品,20240125,18.72,3.07,22965631.0,38517960.300765
饮料乳品,20240126,18.75,3.08,22993942.0,38440100.821525
饮料乳品,20240129,18.95,3.11,23243197.0,38928395.978774
饮料乳品,20240130,18.66,3.06,22894007.0,38045989.23187
饮料乳品,20240131,18.46,3.03,22647582.0,37524232.145293
饮料乳品,20240201,18.4,3.02,22571765.0,37528177.742682
饮料乳品,20240202,18.33,3.01,22491098.0,37415536.195906
饮料乳品,20240205,18.47,3.03,22656983.0,37220302.476171
饮料乳品,20240206,18.78,3.08,23044420.0,37843225.873178
饮料乳品,20240207,18.93,3.11,23224084.0,38194245.389368
饮料乳品,20240208,19.01,3.12,23321823.0,38548399.551507
饮料乳品,20240219,19.14,3.14,23486290.0,38935949.665569
饮料乳品,20240220,19.38,3.18,23770415.0,39399819.228025
饮料乳品,20240221,19.53,3.2,23959883.0,39789972.633284
饮料乳品,20240222,19.66,3.22,24112377.0,39991620.97352
饮料乳品,20240223,19.61,3.22,24060770.0,39931034.858207
饮料乳品,20240226,19.45,3.19,23858107.0,39599610.779224
