name,trade_date,pe,pb,float_mv,total_mv
饲料,20240102,56.17,2.61,9346053.0,19038723.172803
饲料,20240103,55.15,2.57,9181228.0,18729019.745586
饲料,20240104,54.5,2.54,9074860.0,18552128.617233
饲料,20240105,53.9,2.51,8978767.0,18405077.711093
饲料,20240108,52.37,2.44,8729784.0,17962036.772777
饲料,20240109,52.4,2.44,8736517.0,17986558.557206
饲料,20240110,52.28,2.44,8712252.0,17905885.971923
饲料,20240111,52.86,2.46,8812518.0,18124675.649025
饲料,20240112,53.79,2.51,8969779.0,18496354.440665
饲料,20240115,52.69,2.46,8787751.0,18119569.606917
饲料,20240116,53.12,2.48,8861791.0,18321530.216868
饲料,20240117,51.64,2.41,8612810.0,17850195.671454
饲料,20240118,51.54,2.4,8591925.0,17786602.906303
饲料,20240119,51.05,2.38,8513456.0,17647467.666529
饲料,20240122,48.51,2.26,8090861.0,16806520.418332
饲料,20240123,48.49,2.27,8089161.0,16793557.960381
饲料,20240124,48.58,2.27,8107341.0,16869639.138118
饲料,20240125,49.24,2.3,8215592.0,17066523.419709
饲料,20240126,49.15,2.3,8194702.0,16968397.68301
饲料,20240129,48.89,2.28,8148979.0,16874339.238332
饲料,20240130,47.49,2.22,7916966.0,16376488.597792
饲料,20240131,46.07,2.15,7678276.0,15889981.592358
饲料,20240201,45.8,2.14,7637445.0,15843971.122761
饲料,20240202,45.07,2.11,7515083.0,15560551.037689
饲料,20240205,43.32,2.02,7230412.0,15102988.937812
饲料,20240206,44.84,2.1,7483478.0,15607987.965946
饲料,20240207,46.16,2.16,7697930.0,15955591.366387
饲料,20240208,47.16,2.2,7868055.0,16315432.784248
饲料,20240219,47.29,2.21,7886994.0,16399651.187659
饲料,20240220,47.97,2.24,8013241.0,16659791.046174
饲料,20240221,48.17,2.25,8045215.0,16721223.734846
饲料,20240222,48.7,2.28,8132251.0,16914021.308771
饲料,20240223,49.4,2.31,8250015.0,17167236.83098
饲料,20240226,49.64,2.32,8291628.0,17235713.837754
饲料,20240227,50.19,2.35,8382332.0,17386729.536263
饲料,20240228,48.61,2.27,8124297.0,16910303.922224
饲料,20240229,49.34,2.31,8247917.0,17170682.765867
饲料,20240301,48.75,2.28,8149398.0,16983263.189754
饲料,20240304,48.63,2.27,8130621.0,16956221.333276
饲料,20240305,48.46,2.26,8104813.0,16916230.418454
饲料,20240306,48.22,2.25,8064104.0,16828000.252294
饲料,20240307,48.6,2.27,8121002.0,16906908.723767
饲料,20240308,49.11,2.29,8206917.0,17146239.742958
饲料,20240311,49.7,2.32,8314280.0,17344701.318547
饲料,20240312,50.38,2.35,8430264.0,17580157.829367
饲料,20240313,49.57,2.32,8296260.0,17348836.295869
饲料,20240314,49.39,2.31,8262673.0,17264974.265904
饲料,20240315,49.83,2.33,8334737.0,17403636.801973
饲料,20240318,50.01,2.34,8365167.0,17460219.585696
饲料,20240319,50.77,2.37,8494434.0,17729860.115595
饲料,20240320,51.28,2.38,8577566.0,17802219.504893
饲料,20240321,52.69,2.44,8808628.0,18177423.814575
饲料,20240322,51.23,2.37,8564232.0,17694070.38767
饲料,20240325,49.9,2.31,8340193.0,17247252.787323
饲料,20240326,50.79,2.35,8489260.0,17591756.894154
饲料,20240327,49.94,2.31,8355910.0,17423057.709624
饲料,20240328,49.55,2.3,8290250.0,17244282.018662
饲料,20240329,50.57,2.34,8455533.0,17573927.36412
饲料,20240401,53.8,2.39,8563078.0,17847121.247261
