name,trade_date,pe,pb,float_mv,total_mv
高价股指数,20240102,24.74,5.15,535919102.0,1207754616.83394
高价股指数,20240103,24.53,5.1,531017097.0,1196322440.36922
高价股指数,20240104,24.11,5.01,523042075.0,1179122765.6307
高价股指数,20240105,23.85,4.96,515987543.0,1163623521.15877
高价股指数,20240108,23.46,4.88,506496540.0,1142348162.71202
高价股指数,20240109,23.48,4.88,507534856.0,1142159435.94888
高价股指数,20240110,23.5,4.88,507059333.0,1140450229.29618
高价股指数,20240111,23.78,4.94,514054793.0,1154841196.08402
高价股指数,20240112,23.6,4.9,509409958.0,1144122980.57961
高价股指数,20240115,23.48,4.88,506731042.0,1138317823.11984
高价股指数,20240116,23.55,4.89,508061831.0,1140201636.86095
高价股指数,20240117,22.84,4.74,492533111.0,1104933819.02764
高价股指数,20240118,23.4,4.86,503339902.0,1127526995.5468
高价股指数,20240119,23.39,4.86,502214005.0,1124585533.30257
高价股指数,20240122,23.01,4.78,491321627.0,1099592344.11101
高价股指数,20240123,23.05,4.79,493407737.0,1104854060.85788
高价股指数,20240124,23.09,4.8,493620899.0,1106615621.83045
高价股指数,20240125,23.39,4.86,500786506.0,1122746613.70556
高价股指数,20240126,22.98,4.77,490610561.0,1101950121.63029
高价股指数,20240129,22.52,4.68,480026782.0,1081980377.26793
高价股指数,20240130,21.9,4.55,466103671.0,1050903733.21638
高价股指数,20240131,21.73,4.52,459985811.0,1043778558.19884
高价股指数,20240201,21.84,4.54,462490548.0,1051113210.17578
高价股指数,20240202,21.36,4.44,450798685.0,1020745775.04647
高价股指数,20240205,21.59,4.49,452084599.0,1023482191.2929
高价股指数,20240206,22.64,4.71,476732789.0,1078791724.40951
高价股指数,20240207,23.11,4.81,487916945.0,1103891005.13591
高价股指数,20240208,23.28,4.84,493541772.0,1116524575.61667
高价股指数,20240219,23.41,4.87,497523692.0,1125747872.75476
高价股指数,20240220,23.29,4.84,495442212.0,1119399385.3396
高价股指数,20240221,23.79,4.94,503914190.0,1139145218.70271
高价股指数,20240222,23.92,4.97,507327461.0,1146470106.71872
高价股指数,20240223,23.95,4.98,509180327.0,1151228646.37027
高价股指数,20240226,23.83,4.95,508438692.0,1149871490.78555
高价股指数,20240227,24.22,5.03,518685918.0,1171242863.03769
高价股指数,20240228,23.79,4.94,506344326.0,1144113947.75053
高价股指数,20240229,24.49,5.09,523451646.0,1181144937.29148
高价股指数,20240301,24.62,5.12,526937315.0,1188042601.88941
高价股指数,20240304,24.66,5.12,528727002.0,1190686611.19805
高价股指数,20240305,24.76,5.14,529836210.0,1193470833.08088
高价股指数,20240306,24.69,5.13,527790796.0,1188965768.27303
高价股指数,20240307,24.34,5.06,519125382.0,1171520524.93566
高价股指数,20240308,24.45,5.08,522598630.0,1177572652.9808
高价股指数,20240311,25.31,5.26,539545827.0,1213028273.15913
高价股指数,20240312,25.9,5.38,550104821.0,1236733268.98728
高价股指数,20240313,25.87,5.36,548002182.0,1231864826.3258
高价股指数,20240314,25.74,5.33,544893415.0,1225496224.30293
