name,trade_date,pe,pb,float_mv,total_mv
黄金,20240102,32.73,2.76,12097088.0,25636881.234229
黄金,20240103,32.72,2.75,12091509.0,25612400.063482
黄金,20240104,32.8,2.76,12120857.0,25657842.054391
黄金,20240105,32.51,2.74,12014022.0,25428233.099085
黄金,20240108,31.79,2.67,11691979.0,24853070.144548
黄金,20240109,31.66,2.66,11644745.0,24760482.147402
黄金,20240110,31.52,2.65,11591600.0,24664135.995113
黄金,20240111,31.16,2.62,11459851.0,24382553.920227
黄金,20240112,31.46,2.64,11567708.0,24611827.581577
黄金,20240115,31.53,2.65,11594155.0,24647537.592912
黄金,20240116,31.1,2.61,11437974.0,24308374.685792
黄金,20240117,29.97,2.52,11022186.0,23422119.445066
黄金,20240118,29.64,2.49,10899317.0,23152251.989672
黄金,20240119,29.74,2.5,10938117.0,23237271.004833
黄金,20240122,28.42,2.39,10451472.0,22218872.487216
黄金,20240123,28.7,2.41,10555253.0,22424084.745602
黄金,20240124,29.16,2.45,10724414.0,22766711.079751
黄金,20240125,29.79,2.5,10953616.0,23256740.079137
黄金,20240126,29.95,2.52,11013802.0,23383197.013858
黄金,20240129,30.08,2.53,11061110.0,23479807.652744
黄金,20240130,29.77,2.5,10946828.0,23222860.748645
黄金,20240131,29.31,2.46,10779831.0,22883220.200126
黄金,20240201,29.19,2.45,10733617.0,22779115.940388
黄金,20240202,29.3,2.46,10775197.0,22849914.324674
黄金,20240205,28.76,2.42,10576935.0,22429745.371702
黄金,20240206,29.69,2.5,10917312.0,23145779.870712
黄金,20240207,30.5,2.56,11217622.0,23743841.469548
黄金,20240208,30.8,2.59,11326035.0,23975655.606493
黄金,20240219,30.47,2.56,11204605.0,23698947.196101
黄金,20240220,30.85,2.59,11345523.0,23985273.560334
黄金,20240221,31.03,2.61,11411926.0,24149896.286169
黄金,20240222,31.36,2.64,11532964.0,24401039.695728
黄金,20240223,31.39,2.64,11542948.0,24438276.908685
黄金,20240226,31.12,2.62,11444917.0,24245080.875046
黄金,20240227,31.53,2.65,11597034.0,24563636.32617
黄金,20240228,30.95,2.6,11380777.0,24085565.767102
黄金,20240229,31.29,2.63,11508330.0,24360303.624155
黄金,20240301,32.4,2.72,11913401.0,25218553.38045
黄金,20240304,33.04,2.78,12149771.0,25699358.816047
黄金,20240305,34.04,2.87,12562330.0,26449700.339411
黄金,20240306,34.6,2.91,12771955.0,26848697.655898
黄金,20240307,35.73,3.01,13188816.0,27814473.974863
黄金,20240308,35.59,3.0,13134783.0,27749725.6556
黄金,20240311,35.65,3.0,13158109.0,27785981.854854
黄金,20240312,34.66,2.92,12791876.0,27003788.843895
黄金,20240313,34.51,2.91,12737627.0,26874470.834881
黄金,20240314,34.82,2.93,12852612.0,27118059.223882
黄金,20240315,35.76,3.01,13197317.0,27799541.934153
黄金,20240318,35.71,3.01,13181304.0,27764464.749589
黄金,20240319,35.58,3.0,13133296.0,27674002.993572
黄金,20240320,35.59,3.0,13136786.0,27683473.779817
黄金,20240321,36.53,3.08,13483425.0,28414168.905388
黄金,20240322,35.61,3.0,13143446.0,27694516.277866
黄金,20240325,35.3,3.01,13229878.0,27860464.58102
黄金,20240326,34.97,2.98,13141172.0,27672505.258272
黄金,20240327,35.02,2.99,13180500.0,27743929.491045
黄金,20240328,35.85,3.06,13490241.0,28386205.199973
黄金,20240329,37.04,3.3,14482874.0,30433937.943673
黄金,20240401,36.71,3.38,14928716.0,31351014.883907
黄金,20240402,36.41,3.35,14810029.0,31073200.606529
黄金,20240403,37.48,3.45,15241491.0,31978666.56023
黄金,20240408,39.32,3.62,15991778.0,33621424.213386
黄金,20240409,38.5,3.54,15659619.0,32915781.051378
黄金,20240410,39.07,3.59,15890980.0,33324331.002149
黄金,20240411,39.05,3.59,15883091.0,33230431.775246
黄金,20240412,41.41,3.81,16840909.0,35161085.789052
黄金,20240415,39.76,3.66,16171621.0,33767187.734299
黄金,20240416,37.8,3.48,15372237.0,32105241.788125
黄金,20240417,38.53,3.54,15670895.0,32738718.218176
黄金,20240418,38.58,3.55,15691620.0,32752512.996267
黄金,20240419,39.02,3.59,15868823.0,33152139.932607
黄金,20240422,37.34,3.43,15184536.0,31743059.797935
黄金,20240423,35.85,3.3,14580127.0,30432766.496599
黄金,20240424,36.8,3.37,14968743.0,31201033.799854
黄金,20240425,36.85,3.38,14986213.0,31219391.813117
黄金,20240426,38.38,3.51,15583560.0,32466840.587051
黄金,20240429,36.31,3.35,15259643.0,31844727.502806
黄金,20240430,36.28,3.29,15044054.0,31444385.317468
黄金,20240506,33.31,3.33,15217708.0,31816220.982342
黄金,20240507,33.53,3.35,15319779.0,32041398.409407
黄金,20240508,33.91,3.39,15492403.0,32507268.131776
黄金,20240509,34.29,3.43,15667437.0,32889572.982314
黄金,20240510,35.04,3.5,16007803.0,33599845.986699
黄金,20240513,34.46,3.44,15743809.0,33030368.754106
黄金,20240514,34.6,3.46,15807982.0,33141532.260855
黄金,20240515,35.31,3.53,16134131.0,33834921.913143
黄金,20240516,34.86,3.48,15928275.0,33364208.464261
黄金,20240517,34.82,3.48,15910576.0,33314156.896797
黄金,20240520,37.05,3.7,16927945.0,35419459.416511
黄金,20240521,35.21,3.52,16087094.0,33676261.724424
黄金,20240522,34.89,3.49,15942458.0,33358359.104846
黄金,20240523,33.86,3.38,15469448.0,32365124.193573
黄金,20240524,34.0,3.4,15531932.0,32455264.818375
黄金,20240527,34.39,3.44,15711160.0,32849060.061406
黄金,20240528,34.35,3.43,15695479.0,32803329.266127
黄金,20240529,35.17,3.51,16067426.0,33530487.929556
黄金,20240530,33.65,3.36,15375044.0,32159716.289518
黄金,20240531,34.09,3.41,15575420.0,32556304.272251
黄金,20240603,33.08,3.31,15115420.0,31601908.552435
黄金,20240604,33.59,3.36,15345278.0,32028753.377953
黄金,20240605,33.0,3.3,15076731.0,31478600.718818
黄金,20240606,33.88,3.39,15479909.0,32300891.088803
黄金,20240607,33.83,3.38,15454619.0,32243299.202708
黄金,20240611,32.33,3.23,14785066.0,30840886.353035
黄金,20240612,32.82,3.28,15008273.0,31322187.359139
黄金,20240613,32.2,3.22,14723808.0,30748392.723711
黄金,20240614,32.05,3.2,14657800.0,30598749.066717
黄金,20240617,31.79,3.18,14539008.0,30367165.502064
黄金,20240618,32.13,3.21,14693836.0,30682324.120922
黄金,20240619,32.68,3.27,14943467.0,31212478.366923
黄金,20240620,101.37,3.26,4548977.0,31158100.589913
黄金,20240621,32.78,3.28,14988258.0,31238145.803367
黄金,20240624,32.09,3.21,14673348.0,30594672.161037
黄金,20240625,31.88,3.19,14578668.0,30400623.786109
黄金,20240626,31.71,3.17,14503054.0,30260566.89134
黄金,20240627,31.1,3.11,14221949.0,29674767.410924
黄金,20240628,32.04,3.2,14652807.0,30542493.143314
黄金,20240701,32.71,3.27,14958617.0,31095686.869149
黄金,20240702,32.68,3.27,14945955.0,31055773.069125
黄金,20240703,32.4,3.24,14814930.0,30780854.801458
黄金,20240704,32.68,3.27,14944267.0,31073827.393524
黄金,20240705,34.59,3.46,15818592.0,32874085.3889
黄金,20240708,34.75,3.47,15888936.0,33001673.748686
黄金,20240709,35.22,3.52,16107431.0,33405882.435426
黄金,20240710,34.95,3.49,15982179.0,33175444.086983
黄金,20240711,35.89,3.59,16412096.0,34023291.205288
黄金,20240712,35.03,3.5,16018475.0,33147914.681006
黄金,20240715,35.83,3.58,16384044.0,33902884.282018
黄金,20240716,37.37,3.74,17091468.0,35373676.936479
黄金,20240717,37.38,3.74,17095159.0,35386553.404231
黄金,20240718,37.34,3.73,17077185.0,35351633.591127
黄金,20240719,36.14,3.61,16528784.0,34247350.132691
黄金,20240722,35.73,3.57,16337542.0,33850809.128578
黄金,20240723,34.06,3.41,15614239.0,32272364.118951
黄金,20240724,34.41,3.44,15774062.0,32599698.249115
黄金,20240725,32.7,3.27,14992371.0,31007390.522471
黄金,20240726,33.05,3.31,15153185.0,31331188.359376
黄金,20240729,33.42,3.34,15321774.0,31688908.454219
黄金,20240730,33.57,3.36,15387480.0,31822944.619868
黄金,20240731,34.0,3.44,16326752.0,33664058.921925
黄金,20240801,34.44,3.46,16537543.0,33910637.997757
黄金,20240802,34.84,3.5,16730024.0,34317218.881485
黄金,20240805,33.68,3.38,16173643.0,33216168.685205
黄金,20240806,33.01,3.32,15853632.0,32573217.656641
黄金,20240807,33.06,3.32,15877557.0,32610183.510528
黄金,20240808,32.53,3.27,15619689.0,32111844.065236
黄金,20240809,32.59,3.27,15650594.0,32206832.304255
黄金,20240812,32.72,3.29,15712608.0,32308880.024935
黄金,20240813,32.96,3.31,15825842.0,32533740.880869
黄金,20240814,32.72,3.29,15710528.0,32295536.412986
黄金,20240815,32.61,3.27,15658391.0,32224429.059837
黄金,20240816,31.88,3.2,15308019.0,31503891.575972
黄金,20240819,33.32,3.35,16002632.0,32886245.768476
黄金,20240820,32.8,3.29,15750884.0,32399096.843773
黄金,20240821,33.71,3.39,16187875.0,33288389.583032
黄金,20240822,33.31,3.35,15997026.0,32903838.854695
黄金,20240823,33.19,3.34,15940352.0,32819899.900497
黄金,20240826,32.73,3.29,15716441.0,32351504.352824
黄金,20240827,31.92,3.21,15327403.0,31525633.893631
黄金,20240828,31.32,3.15,15040689.0,30914200.622958
黄金,20240829,31.46,3.17,15107500.0,31014274.261279
黄金,20240830,30.43,3.09,14611556.0,30018142.615477
黄金,20240902,26.95,2.98,14329673.0,29138804.704544
黄金,20240903,26.51,2.93,14097574.0,28661703.172481
黄金,20240904,26.2,2.9,13928477.0,28303712.490895
黄金,20240905,26.38,2.92,14025834.0,28502364.257474
黄金,20240906,26.68,2.95,14183688.0,28783301.626543
黄金,20240909,25.93,2.87,13786279.0,27976337.047625
黄金,20240910,25.98,2.88,13814804.0,28031651.463671
黄金,20240911,26.31,2.91,13988213.0,28389287.157532
黄金,20240912,26.06,2.88,13855629.0,28126084.342001
黄金,20240913,26.81,2.97,14256878.0,28925152.464114
黄金,20240918,26.6,2.94,14140503.0,28716827.747953
黄金,20240919,26.8,2.97,14246949.0,28925570.952705
黄金,20240920,27.55,3.05,14647971.0,29706441.178899
黄金,20240923,28.12,3.11,14950235.0,30319209.806298
黄金,20240924,28.35,3.14,15075994.0,30572448.87367
黄金,20240925,28.94,3.2,15388217.0,31234290.593275
黄金,20240926,29.32,3.25,15591096.0,31640923.845429
黄金,20240927,29.58,3.27,15727389.0,31908865.703186
黄金,20240930,31.38,3.47,16685881.0,33822188.270074
黄金,20241008,31.2,3.45,16587501.0,33620384.675243
黄金,20241009,28.61,3.17,15240634.0,30871696.351987
黄金,20241010,28.87,3.2,15378362.0,31156787.867582
黄金,20241011,29.26,3.24,15587266.0,31584652.652743
黄金,20241014,30.07,3.33,16017063.0,32427083.491901
黄金,20241015,29.08,3.22,15492384.0,31381971.807852
黄金,20241016,30.39,3.37,16186556.0,32773812.881708
黄金,20241017,30.1,3.33,16031598.0,32442695.435415
黄金,20241018,30.88,3.42,16446715.0,33269827.193758
黄金,20241021,31.68,3.51,16877532.0,34089744.878446
黄金,20241022,31.59,3.47,16827426.0,33975984.465064
黄金,20241023,31.49,3.46,16775661.0,33899913.739818
黄金,20241024,30.56,3.35,16277278.0,32892644.922805
黄金,20241025,30.07,3.3,16017269.0,32385877.29641
黄金,20241028,30.13,3.31,16049665.0,32435597.36147
黄金,20241029,30.45,3.31,16217960.0,32701390.215188
黄金,20241030,30.67,3.3,16381526.0,32887820.639311
黄金,20241031,29.75,3.2,15888574.0,31934419.637059
黄金,20241101,26.96,3.18,15808919.0,31757500.402775
黄金,20241104,27.05,3.19,15865932.0,31894382.324674
黄金,20241105,27.33,3.22,16028707.0,32197173.903538
黄金,20241106,27.12,3.19,15905190.0,31941675.805281
黄金,20241107,26.24,3.09,15386461.0,30940332.121137
黄金,20241108,25.85,3.05,15159790.0,30491850.29384
黄金,20241111,25.52,3.01,14967603.0,30105613.359403
黄金,20241112,25.07,2.95,14700897.0,29577913.201278
黄金,20241113,25.34,2.99,14862571.0,29912706.533122
黄金,20241114,25.02,2.95,14674987.0,29534473.489148
黄金,20241115,24.9,2.93,14601311.0,29413576.525622
黄金,20241118,24.65,2.9,14456011.0,29147384.574463
黄金,20241119,25.23,2.97,14795535.0,29806961.763021
黄金,20241120,25.36,2.99,14874578.0,29971432.039041
黄金,20241121,26.03,3.07,15267823.0,30711588.060635
黄金,20241122,25.92,3.05,15199676.0,30512146.420254
黄金,20241125,25.58,3.01,15003276.0,30053035.905193
黄金,20241126,25.4,2.99,14895936.0,29776762.011785
黄金,20241127,25.31,2.98,14841518.0,29732049.343747
